Table 5-10: CH4 Emissions from Rice Cultivation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arkansas,6.3, 7.6 , 5.7 , 6.9 , 6.7 , 6.3 , 6.7 , 6.2 , 7.1 , 7.0 , 7.5 , 6.1 , 7.0 , 5.9 , 7.1 ,8.8, 7.7 , 7.4 , 6.6 , 8.4 , 9.8 , 8.1 , 7.8 , 6.0 , 6.9 , 7.4 , 8.2 , 5.9 ,8,5.6,6.8,NE,NE
California,3.2, 2.8 , 2.7 , 3.0 , 3.1 , 3.2 , 3.4 , 3.7 , 3.5 , 3.5 , 4.0 , 4.4 , 4.2 , 3.5 , 4.1 ,3.4, 3.9 , 3.7 , 3.7 , 3.7 , 3.8 , 3.6 , 3.7 , 4.0 , 4.1 , 4.4 , 4.6 , 4.4 ,3.7,3.5,3.6,NE,NE
Florida,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , 1.3 , 1.3 ,+ ,+ ,+ , 0.1 ,+ , 0.1 , 0.1 , 0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Illinois,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Kentucky,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Louisiana,3.5, 3.3 , 3.8 , 3.2 , 3.6 , 3.1 , 3.5 , 3.3 , 4.2 , 4.1 , 4.0 , 4.0 , 3.8 , 3.7 , 3.4 ,3.8, 2.9 , 3.5 , 2.7 , 3.7 , 3.4 , 3.4 , 3.0 , 3.5 , 3.3 , 3.5 , 3.2 , 2.9 ,3.7,3.2,3.7,NE,NE
Minnesota,+ ,+ ,+ , 0.1 , 0.1 ,+ ,+ ,+ , 0.1 , 0.1 , 0.1 , 0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ , 0.1 , 0.1 , 0.1 , 0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Mississippi,1.1, 0.9 , 1.1 , 1.2 , 1.2 , 1.1 , 0.9 , 0.8 , 1.4 , 0.7 , 1.2 , 0.9 , 1.3 , 1.0 , 0.4 ,1.3, 0.9 , 0.7 , 0.9 , 0.5 , 1.2 , 0.6 , 0.9 , 1.0 , 0.6 , 1.3 , 1.1 , 0.3 ,0.7,0.6,0.6,NE,NE
Missouri,0.5, 0.4 , 0.4 , 0.5 , 0.7 , 0.6 , 0.5 , 0.6 , 0.7 , 0.8 , 1.1 , 1.2 , 1.2 , 0.8 , 1.0 ,1.2, 1.2 , 1.3 , 1.3 , 1.1 , 1.5 , 0.7 , 0.7 , 0.8 , 0.9 , 0.7 , 1.0 , 0.8 ,1.2,0.9,1,NE,NE
New York,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Tennessee,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Texas,4.3, 4.4 , 5.3 , 4.4 , 2.9 , 4.8 , 4.7 , 3.2 , 3.5 , 1.5 , 3.3 , 2.3 , 3.9 , 2.8 , 1.5 ,1.9, 1.3 , 1.7 , 1.1 , 2.1 , 1.8 , 2.8 , 1.5 , 2.7 , 1.8 , 2.3 , 1.8 , 2.5 ,2.6,1.9,2.9,NE,NE
Total,18.9, 19.5 , 19.0 , 19.1 , 18.1 , 19.1 , 19.7 , 17.9 , 20.4 , 19.0 , 22.4 , 19.0 , 21.5 , 17.9 , 17.6 ,20.6, 18.0 , 18.5 , 16.4 , 19.6 , 21.5 , 19.4 , 17.7 , 18.1 , 17.6 , 19.6 , 19.9 , 16.7 ,19.9,15.6,18.6,18.3,18.9
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level emissions are not estimated for 2021 through 2022 in this Inventory. A surrogate method is used to estimate emissions for these years only at the national scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
