Table 5-11:  CH4 Emissions from Rice Cultivation (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arkansas,224.2, 271.5 , 204.0 , 245.6 , 239.0 , 223.4 , 240.4 , 220.7 , 254.0 , 250.9 , 266.8 , 217.5 , 249.0 , 210.7 , 254.9 ,315.5, 274.9 , 265.3 , 236.6 , 300.1 , 351.2 , 290.0 , 280.0 , 213.5 , 245.2 , 265.5 , 292.9 , 211.2 ,287.1,200.5,243.4,NE,NE
California,114.5, 101.5 , 95.8 , 106.5 , 110.5 , 115.1 , 119.8 , 132.3 , 125.3 , 123.5 , 141.6 , 157.3 , 150.6 , 125.2 , 144.9 ,122.8, 138.3 , 131.8 , 132.8 , 130.8 , 134.8 , 129.0 , 133.0 , 142.8 , 144.7 , 156.2 , 164.0 , 156.2 ,131.5,123.9,129.1,NE,NE
Florida,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ , 45.0 , 47.8 , 1.3 , 1.0 , 1.6 , 2.3 ,1.2, 2.0 , 2.0 , 3.5 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,+ ,+ ,+ ,NE,NE
Illinois,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Kentucky,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Louisiana,124.9, 118.1 , 134.4 , 114.6 , 126.8 , 111.4 , 125.6 , 118.5 , 149.9 , 146.0 , 142.4 , 141.8 , 135.2 , 133.5 , 121.7 ,135, 105.1 , 124.3 , 96.0 , 132.1 , 120.6 , 122.8 , 106.0 , 125.4 , 117.4 , 125.0 , 114.9 , 103.1 ,131.4,113.7,130.4,NE,NE
Minnesota,1.0, 1.0 , 1.0 , 2.1 , 2.1 , 1.3 , 1.8 , 1.8 , 2.1 , 4.1 , 2.9 , 1.8 , 1.4 , 1.0 , 1.0 ,1.7, 1.2 ,+ , 0.9 , 2.4 , 2.0 , 2.1 , 2.8 , 1.3 ,+ ,+ , 0.8 ,+ ,+ ,0.8,+ ,NE,NE
Mississippi,39, 33.4 , 40.8 , 41.6 , 42.7 , 40.9 , 31.2 , 29.8 , 48.7 , 25.7 , 43.2 , 33.0 , 46.5 , 36.4 , 15.7 ,46.5, 31.1 , 26.5 , 32.0 , 18.7 , 42.2 , 22.0 , 30.8 , 36.1 , 23.0 , 47.6 , 37.9 , 9.9 ,24.3,20.3,21.5,NE,NE
Missouri,19.5, 16.0 , 14.1 , 17.9 , 23.2 , 20.1 , 17.0 , 22.1 , 24.5 , 30.2 , 39.2 , 42.9 , 43.3 , 29.1 , 35.4 ,42.7, 41.6 , 48.1 , 45.9 , 39.2 , 52.5 , 24.5 , 25.4 , 28.9 , 33.3 , 24.6 , 36.8 , 28.0 ,43,31.8,34.4,NE,NE
New York,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Tennessee,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE
Texas,153.5, 156.7 , 189.3 , 155.6 , 103.9 , 171.0 , 168.7 , 112.8 , 125.3 , 53.2 , 117.0 , 83.2 , 139.5 , 101.6 , 53.9 ,69.5, 46.7 , 60.4 , 39.1 , 74.8 , 64.4 , 100.7 , 52.6 , 97.6 , 63.8 , 80.7 , 63.3 , 88.8 ,93.6,67,104.7,NE,NE
Total,677, 698.2 , 679.2 , 683.9 , 648.2 , 683.2 , 704.4 , 637.8 , 729.8 , 678.6 , 801.1 , 679.2 , 766.8 , 639.5 , 630.0 ,735, 641.3 , 659.0 , 587.1 , 698.6 , 768.1 , 691.5 , 631.0 , 645.9 , 627.7 , 699.7 , 710.7 , 597.4 ,711,558,664,653,674
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated). State-level emissions are not estimated for 2021 through 2022 in this Inventory. A surrogate method is used to estimate emissions for these years only at the national scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
