"Table 5-12:  Rice Area Harvested (1,000 Hectares)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State/Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Arkansas, 611 , 683 , 620 , 645 , 678 , 609 , 641 , 623 , 601 , 617 , 651 , 555 , 639 , 598 , 731 , 782 , 655 , 663 , 610 , 840 , 791 , 625 , 614 , 566 , 706 , 667 , 721 , 565 , 659 , 512 , 663 ,NE,NE
California,251, 219 , 214 , 239 , 249 , 269 , 261 , 277 , 297 , 282 , 276 , 280 , 266 , 226 , 265 , 237 , 251 , 251 , 243 , 257 , 255 , 256 , 248 , 253 , 257 , 274 , 285 , 275 ,226,218,224,NE,NE
Florida,0, -   , -   , -   , -   , -   , -   , -   , -   , 124 , 129 , 3 , 3 , 3 , 4 , 3 , 5 , 5 , 6 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,NE,NE
Illinois,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , -   , 1 , 0 ,0,0,1,NE,NE
Kentucky,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   , 0 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,NE,NE
Louisiana,399, 404 , 482 , 395 , 425 , 360 , 412 , 399 , 454 , 469 , 404 , 418 , 393 , 389 , 384 , 400 , 295 , 351 , 263 , 358 , 351 , 330 , 281 , 342 , 334 , 360 , 311 , 293 ,356,313,383,NE,NE
Minnesota,3, 3 , 3 , 7 , 7 , 5 , 6 , 6 , 8 , 15 , 10 , 7 , 5 , 3 , 3 , 6 , 4 , 0 , 3 , 7 , 6 , 6 , 9 , 5 , -   , -   , 3 , -   ,0,3,0,NE,NE
Mississippi,177, 157 , 212 , 195 , 190 , 190 , 142 , 150 , 182 , 111 , 150 , 136 , 182 , 159 , 84 , 191 , 116 , 103 , 130 , 86 , 164 , 98 , 115 , 166 , 118 , 173 , 165 , 48 ,98,96,109,NE,NE
Missouri,48, 38 , 43 , 49 , 60 , 53 , 42 , 60 , 59 , 68 , 82 , 99 , 94 , 80 , 90 , 96 , 95 , 100 , 110 , 106 , 111 , 58 , 57 , 73 , 101 , 62 , 96 , 72 ,99,74,85,NE,NE
New York,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0,0,0,NE,NE
Tennessee,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 0 , 1 , -   , -   , 0 , -   , 0 , -   , -   , -   ,0,0,0,NE,NE
Texas,294, 308 , 382 , 316 , 194 , 321 , 278 , 215 , 183 , 91 , 196 , 155 , 213 , 174 , 96 , 104 , 68 , 99 , 68 , 126 , 121 , 140 , 89 , 154 , 113 , 137 , 112 , 127 ,164,119,167,NE,NE
Total,"1,784"," 1,813 "," 1,956 "," 1,846 "," 1,804 "," 1,806 "," 1,783 "," 1,732 "," 1,782 "," 1,776 "," 1,900 "," 1,654 "," 1,796 "," 1,636 "," 1,660 "," 1,823 "," 1,492 "," 1,576 "," 1,435 "," 1,781 "," 1,801 "," 1,515 "," 1,414 "," 1,559 "," 1,630 "," 1,671 "," 1,693 "," 1,380 ","1,603","1,335","1,633",NE,NE
NE (Not Estimated). Area data will be updated in the next Inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
