Table 5-17:  Direct N2O Emissions from Agricultural Soils by Land Use Type and Nitrogen Input Type (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cropland,174.9, 167.2 , 163.8 , 176.4 , 179.3 , 173.8 , 181.6 , 171.5 , 172.8 , 176.5 , 171.9 , 180.9 , 182.7 , 183.8 , 184.0 ,180.6, 178.6 , 187.1 , 184.2 , 182.3 , 184.9 , 188.7 , 179.1 , 203.3 , 209.7 , 198.5 , 189.8 , 195.8 ,208.9,193.4,182.4,184.3,180.3
Mineral Soils,171.5, 163.8 , 160.5 , 173.0 , 176.0 , 170.5 , 178.3 , 168.2 , 169.5 , 173.3 , 168.6 , 177.5 , 179.4 , 180.5 , 180.7 ,177.3, 175.4 , 183.9 , 181.1 , 179.2 , 181.9 , 185.6 , 176.1 , 200.2 , 206.7 , 195.5 , 186.8 , 192.8 ,205.9,190.5,179.5,181.4,177.4
Synthetic Fertilizer,61, 60.0 , 59.3 , 61.5 , 68.3 , 60.6 , 66.9 , 64.5 , 61.5 , 63.0 , 63.5 , 61.5 , 64.5 , 64.9 , 66.6 ,64.3, 63.0 , 68.6 , 65.9 , 61.8 , 62.3 , 68.1 , 70.3 , 74.0 , 74.6 , 69.2 , 66.7 , 69.1 ,70.3,65.7,63.2,63.4,62
Organic Amendment a,11.5, 11.5 , 11.6 , 11.5 , 11.9 , 11.9 , 12.1 , 12.1 , 12.1 , 12.0 , 12.1 , 12.6 , 13.4 , 13.0 , 12.5 ,12.7, 12.9 , 13.3 , 13.6 , 13.3 , 13.1 , 13.8 , 13.6 , 14.1 , 14.3 , 14.0 , 14.0 , 14.7 ,14.7,14.6,14.4,14.7,14.6
Residue N b,34.1, 33.4 , 32.0 , 35.4 , 34.8 , 35.6 , 36.7 , 33.3 , 32.5 , 37.8 , 35.0 , 36.7 , 36.4 , 37.5 , 34.4 ,35, 35.4 , 34.9 , 34.3 , 35.2 , 36.4 , 38.3 , 34.8 , 37.5 , 39.3 , 35.4 , 33.2 , 36.4 ,39.6,34.5,37.6,33.2,32.4
Mineralization and Asymbiotic Fixation,64.8, 58.9 , 57.5 , 64.5 , 60.9 , 62.5 , 62.6 , 58.3 , 63.5 , 60.5 , 58.0 , 66.7 , 65.2 , 65.2 , 67.3 ,65.3, 64.2 , 67.1 , 67.3 , 68.9 , 70.1 , 65.5 , 57.3 , 74.6 , 78.5 , 76.9 , 73.0 , 72.6 ,81.3,75.7,64.3,70.1,68.4
Drained Organic Soils,3.4, 3.4 , 3.4 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.3 , 3.2 , 3.3 ,3.2, 3.2 , 3.1 , 3.1 , 3.0 , 3.0 , 3.1 , 3.1 , 3.1 , 3.0 , 3.0 , 3.0 , 3.0 ,3,2.9,2.9,2.9,2.9
Grassland,83.9, 82.8 , 81.6 , 83.3 , 82.3 , 83.8 , 85.6 , 85.2 , 86.1 , 81.8 , 79.7 , 83.8 , 84.5 , 83.8 , 87.6 ,85.1, 85.1 , 85.0 , 84.2 , 86.3 , 86.8 , 82.2 , 78.6 , 88.3 , 88.0 , 87.6 , 86.4 , 85.6 ,89.4,87.5,80.3,83.4,82.1
Mineral Soils,81.6, 80.5 , 79.3 , 81.0 , 79.9 , 81.5 , 83.3 , 82.8 , 83.7 , 79.5 , 77.4 , 81.6 , 82.2 , 81.6 , 85.4 ,82.8, 82.8 , 82.7 , 81.9 , 84.0 , 84.5 , 79.9 , 76.3 , 86.0 , 85.7 , 85.3 , 84.2 , 83.3 ,87.2,85.2,78.1,81.1,79.8
Synthetic Fertilizer,+ ,+ ,+ , 0.1 ,+ ,+ ,+ ,+ , 0.2 ,+ , 0.1 ,+ , 0.1 ,+ , 0.1 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
PRP Manure,15.4, 15.1 , 15.4 , 15.8 , 16.2 , 16.2 , 16.2 , 15.5 , 15.6 , 14.8 , 14.6 , 14.7 , 14.7 , 14.4 , 14.3 ,14.2, 14.5 , 13.8 , 13.7 , 13.9 , 13.6 , 13.4 , 12.7 , 13.0 , 12.9 , 13.1 , 13.2 , 13.3 ,14,13.6,13.3,13.9,13.8
Managed Manure c,+ ,+ ,+ ,+ ,+ ,+ ,+ , 0.0 ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
"Biosolids (i.e., treated Sewage Sludge)",0.2, 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4, 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 ,0.4,0.4,0.4,0.4,0.4
Residue N d,27.1, 26.2 , 26.3 , 27.1 , 26.3 , 27.6 , 27.5 , 27.3 , 26.7 , 28.2 , 26.4 , 28.5 , 27.9 , 28.4 , 27.1 ,28.4, 28.1 , 28.0 , 28.2 , 28.3 , 28.6 , 28.2 , 27.8 , 28.5 , 28.7 , 27.1 , 27.3 , 28.4 ,28,28.3,28.2,26.3,25.9
Mineralization and Asymbiotic Fixation,38.9, 39.0 , 37.3 , 37.7 , 37.1 , 37.5 , 39.3 , 39.8 , 40.9 , 36.2 , 36.0 , 37.9 , 39.1 , 38.4 , 43.5 ,39.8, 39.9 , 40.5 , 39.6 , 41.5 , 42.0 , 38.0 , 35.5 , 44.1 , 43.8 , 44.7 , 43.3 , 41.2 ,44.8,42.9,36.2,40.5,39.8
Drained Organic Soils,2.3, 2.3 , 2.3 , 2.3 , 2.4 , 2.3 , 2.3 , 2.4 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.2 , 2.2 ,2.2, 2.3 , 2.2 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.3 , 2.2 ,2.2,2.2,2.2,2.3,2.3
Total,258.8, 250.0 , 245.4 , 259.7 , 261.6 , 257.7 , 267.2 , 256.7 , 258.9 , 258.3 , 251.6 , 264.7 , 267.3 , 267.6 , 271.6 ,265.6, 263.7 , 272.0 , 268.4 , 268.6 , 271.8 , 270.9 , 257.7 , 291.5 , 297.7 , 286.1 , 276.2 , 281.4 ,298.3,280.9,262.8,267.7,262.5
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Organic amendment inputs include managed manure, daily spread manure, and commercial organic fertilizers (i.e., dried blood, dried manure, tankage, compost, and other).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Cropland residue nitrogen inputs include nitrogen in unharvested cover crops as well as harvested crops.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
