Table 5-2:  Emissions from Agriculture (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,"7,106","7,322","6,884","6,438","6,820","7,049","6,946","6,980","7,726","7,509","7,582","7,892","8,606","8,271","7,482","7,856"," 7,875 "," 8,222 "," 8,638 "," 7,224 "," 8,562 "," 7,970 "," 10,252 "," 8,350 "," 8,098 "," 8,424 "," 7,735 "," 7,885 ","7,176","7,237","8,019","7,616","8,595"
Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504"," 3,656 "," 3,757 "," 3,613 "," 3,555 "," 3,778 "," 4,097 "," 4,282 "," 4,443 "," 4,512 "," 4,679 "," 4,720 "," 4,816 ","4,936","5,034","5,132","5,229","5,327"
Liming,"4,690","5,009","4,436","3,801","4,137","4,392","4,359","4,289","4,779","4,493","4,368","4,478","5,034","4,586","3,828","4,351"," 4,220 "," 4,464 "," 5,025 "," 3,669 "," 4,784 "," 3,873 "," 5,970 "," 3,907 "," 3,586 "," 3,745 "," 3,015 "," 3,069 ","2,240","2,203","2,887","2,387","3,268"
CH4,"8,633","8,728","8,845","9,015","9,207","9,447","9,397","9,268","9,420","9,378","9,437","9,330","9,463","9,357","9,155","9,444"," 9,464 "," 9,776 "," 9,606 "," 9,637 "," 9,719 "," 9,567 "," 9,500 "," 9,380 "," 9,271 "," 9,605 "," 9,910 "," 9,960 ","10,179","10,008","10,087","10,066","9,885"
Enteric Fermentation,"6,539","6,548","6,738","6,835","6,958","7,114","7,071","6,934","6,858","6,864","6,793","6,752","6,764","6,768","6,642","6,722"," 6,833 "," 6,947 "," 6,921 "," 6,884 "," 6,816 "," 6,727 "," 6,640 "," 6,595 "," 6,519 "," 6,639 "," 6,853 "," 6,998 ","7,028","7,045","7,010","7,017","6,878"
Manure Management,"1,398","1,463","1,408","1,476","1,582","1,632","1,601","1,676","1,812","1,815","1,823","1,880","1,911","1,923","1,860","1,964"," 1,967 "," 2,147 "," 2,077 "," 2,034 "," 2,111 "," 2,130 "," 2,208 "," 2,118 "," 2,102 "," 2,246 "," 2,324 "," 2,343 ","2,418","2,382","2,390","2,373","2,312"
Rice Cultivation,677,698,679,684,648,683,704,638,730,679,801,679,767,639,630,735, 641 , 659 , 587 , 699 , 768 , 692 , 631 , 646 , 628 , 700 , 711 , 597 ,711,558,664,653,674
Field Burning of Agricultural Residues,19,19,20,20,20,17,21,21,20,21,20,19,22,27,23,23, 22 , 23 , 21 , 19 , 25 , 18 , 21 , 21 , 23 , 21 , 22 , 22 ,22,23,22,22,22
N2O,"1,141","1,100","1,089","1,153","1,143","1,140","1,175","1,131","1,154","1,145","1,110","1,172","1,174","1,178","1,205","1,168"," 1,168 "," 1,205 "," 1,192 "," 1,188 "," 1,201 "," 1,196 "," 1,126 "," 1,284 "," 1,304 "," 1,273 "," 1,221 "," 1,248 ","1,322","1,255","1,167","1,190","1,162"
Agricultural Soil Management,"1,090","1,048","1,038","1,102","1,089","1,085","1,120","1,075","1,098","1,087","1,051","1,114","1,114","1,118","1,147","1,110"," 1,107 "," 1,145 "," 1,133 "," 1,129 "," 1,142 "," 1,137 "," 1,067 "," 1,225 "," 1,246 "," 1,214 "," 1,160 "," 1,185 ","1,258","1,191","1,102","1,124","1,097"
Manure Management,50,51,51,50,53,54,54,54,55,57,58,58,59,59,57,57, 60 , 60 , 59 , 58 , 58 , 58 , 59 , 58 , 58 , 59 , 61 , 62 ,63,63,64,65,64
Field Burning of Agricultural Residues,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1,1,1,1,1
Note: Totals by gas may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
