Table 5-31:  U.S. Average Percent Crop Area Burned by Crop (Percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Maize,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Rice,12%,8%,7%,8%,8%,7%,16%,8%,7%,9%,6%,8%,14%,15%,6%,11%,7%,4%,7%,6%,12%,5%,6%,5%,8%,NE,NE,NE,NE,NE,NE
Wheat,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,2%,3%,3%,3%,3%,3%,3%,3%,3%,3%,2%,3%,3%,3%,3%,NE,NE,NE,NE,NE,NE
Barley,1%,1%,1%,1%,+ ,+ ,+ ,1%,+ ,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,NE,NE,NE,NE,NE,NE
Oats,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,2%,1%,NE,NE,NE,NE,NE,NE
Other Small Grains,5%,5%,6%,6%,6%,5%,5%,6%,4%,5%,3%,4%,4%,4%,4%,4%,5%,5%,4%,4%,4%,4%,4%,5%,4%,NE,NE,NE,NE,NE,NE
Sorghum,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,NE,NE,NE,NE,NE,NE
Cotton,7%,10%,7%,9%,8%,10%,8%,8%,10%,9%,9%,9%,9%,10%,10%,10%,8%,7%,8%,8%,9%,8%,8%,8%,8%,NE,NE,NE,NE,NE,NE
Grass Hay,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Legume Hay,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Peas,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,+ ,1%,1%,1%,1%,5%,1%,1%,1%,NE,NE,NE,NE,NE,NE
Sunflower,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Tobacco,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,NE,NE,NE,NE,NE,NE
Vegetables,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Chickpeas,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Dry Beans,+ ,+ ,1%,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,1%,1%,+ ,+ ,+ ,1%,+ ,+ ,1%,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Lentils,+ ,+ ,+ ,+ ,2%,+ ,+ ,+ ,1%,1%,+ ,+ ,1%,1%,1%,1%,1%,1%,1%,+ ,1%,1%,1%,+ ,+ ,NE,NE,NE,NE,NE,NE
Peanuts,5%,6%,6%,6%,5%,5%,5%,6%,5%,6%,5%,5%,5%,5%,5%,5%,6%,5%,5%,5%,5%,5%,5%,5%,5%,NE,NE,NE,NE,NE,NE
Soybeans,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,NE,NE,NE,NE,NE,NE
Potatoes,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Sugarbeets,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,NE,NE,NE,NE,NE,NE
Sugarcane,6%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,4%,4%,6%,5%,5%,6%,6%,5%,4%,6%,4%,5%,4%,6%,3%,5%,5%,4%,6%,4%
+ Does not exceed 0.5 percent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE (Not Estimated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
