Table 5-4:  CH4 Emissions from Enteric Fermentation (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Beef Cattle,"4,742"," 4,765 "," 4,977 "," 5,088 "," 5,231 "," 5,396 "," 5,372 "," 5,238 "," 5,169 "," 5,138 "," 5,050 "," 5,016 "," 5,020 "," 5,020 "," 4,935 ","4,986"," 5,061 "," 5,103 "," 5,058 "," 5,013 "," 4,963 "," 4,856 "," 4,746 "," 4,707 "," 4,624 "," 4,712 "," 4,905 "," 5,033 ","5,042","5,062","5,018","5,010","4,891"
Dairy Cattle,"1,547"," 1,532 "," 1,511 "," 1,499 "," 1,475 "," 1,471 "," 1,456 "," 1,449 "," 1,435 "," 1,475 "," 1,492 "," 1,481 "," 1,485 "," 1,491 "," 1,448 ","1,473"," 1,506 "," 1,571 "," 1,592 "," 1,606 "," 1,594 "," 1,616 "," 1,641 "," 1,639 "," 1,651 "," 1,679 "," 1,700 "," 1,715 ","1,737","1,732","1,743","1,764","1,748"
Swine,81, 85 , 88 , 87 , 90 , 88 , 84 , 88 , 93 , 90 , 88 , 88 , 90 , 90 , 91 ,92, 93 , 98 , 101 , 99 , 97 , 98 , 100 , 98 , 96 , 102 , 105 , 108 ,110,115,115,111,110
Horses,40, 38 , 37 , 40 , 44 , 47 , 51 , 54 , 57 , 59 , 61 , 63 , 66 , 67 , 68 ,70, 71 , 73 , 71 , 70 , 68 , 67 , 65 , 62 , 60 , 57 , 54 , 51 ,48,46,43,40,37
Sheep,102, 101 , 97 , 92 , 89 , 81 , 76 , 72 , 70 , 65 , 63 , 62 , 60 , 57 , 55 ,55, 56 , 55 , 54 , 52 , 51 , 49 , 48 , 48 , 47 , 47 , 48 , 47 ,47,47,47,47,46
Goats,23, 23 , 23 , 22 , 22 , 21 , 21 , 20 , 21 , 21 , 22 , 22 , 23 , 24 , 25 ,26, 27 , 28 , 27 , 26 , 25 , 25 , 24 , 24 , 24 , 24 , 24 , 24 ,24,25,25,25,25
American Bison,4, 5 , 5 , 6 , 7 , 9 , 10 , 11 , 13 , 14 , 16 , 18 , 19 , 19 , 18 ,17, 17 , 16 , 16 , 15 , 15 , 14 , 13 , 14 , 14 , 14 , 15 , 15 ,15,16,16,17,17
Mules and Asses,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 ,2, 2 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,3,3,3,3,3
Total,"6,539"," 6,548 "," 6,738 "," 6,835 "," 6,958 "," 7,114 "," 7,071 "," 6,934 "," 6,858 "," 6,864 "," 6,793 "," 6,752 "," 6,764 "," 6,768 "," 6,642 ","6,722"," 6,833 "," 6,947 "," 6,921 "," 6,884 "," 6,816 "," 6,727 "," 6,640 "," 6,595 "," 6,519 "," 6,639 "," 6,853 "," 6,998 ","7,028","7,045","7,010","7,017","6,878"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
