Table 5-9:  IPCC (2006) Implied Emission Factor Default Values Compared with Calculated Values for CH4 from Manure Management (kg/head/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Type,IPCC Default,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,CH4 Emission Factors (kg/head/year)a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Cattle,48-112,29.3,30.3,30.1,31.4,34.0,35.6,36.4,38.4,40.8,44.1,45.7,49.0,50.4,52.3,50.2,53,53.3,59.1,58.4,58.2,59.7,60.5,62.4,61.6,62.6,63.9,65.4,65.9,67,65,65.9,65,64.1
Beef Cattle,1.0-2.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.8,1.8,1.8,1.9,1.9
Swine,10.0-45,11.5,11.9,10.9,11.7,12.3,12.9,12.8,13.0,13.9,13.5,13.4,13.5,13.5,13.1,12.7,13.3,12.7,13.0,11.7,11.2,12.3,12.1,12.4,11.5,11.2,11.8,12.1,11.7,12,11.6,11.5,11.8,11.6
Sheep,0.19-0.37,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Goats,0.13-0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Poultry,0.02-1.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.05,0.05,0.05,0.05,0.05
Horses,1.56-3.13,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.2,1.1,1.2,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
American Bison,NA,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Mules and Asses,0.76-1.14,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Ranges reflect 2006 IPCC Guidelines (Volume 4, Table 10.14) default emission factors for North America across different climate zones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
