"Table 3-1:  CO2, CH4, and N2O Emissions from Energy (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2," 4,910.9 "," 4,865.3 "," 4,964.9 "," 5,068.8 "," 5,143.1 "," 5,198.6 "," 5,373.0 "," 5,440.5 "," 5,506.4 "," 5,571.5 "," 5,797.0 "," 5,697.9 "," 5,741.8 "," 5,805.8 "," 5,903.6 "," 5,923.1 "," 5,836.5 "," 5,910.2 "," 5,722.7 "," 5,333.4 "," 5,486.9 "," 5,355.1 "," 5,148.0 "," 5,290.0 "," 5,341.5 "," 5,186.5 "," 5,073.6 "," 5,023.4 "," 5,190.6 "," 5,059.1 "," 4,520.2 "," 4,840.7 "," 4,875.5 "
Fossil Fuel Combustion," 4,752.2 "," 4,705.9 "," 4,801.4 "," 4,917.7 "," 4,981.7 "," 5,037.8 "," 5,215.2 "," 5,275.8 "," 5,332.3 "," 5,386.8 "," 5,620.9 "," 5,527.4 "," 5,568.5 "," 5,638.7 "," 5,717.7 "," 5,744.1 "," 5,656.7 "," 5,741.4 "," 5,557.8 "," 5,188.3 "," 5,339.6 "," 5,206.8 "," 4,992.5 "," 5,114.8 "," 5,172.9 "," 5,002.9 "," 4,906.3 "," 4,845.1 "," 4,988.2 "," 4,852.6 "," 4,341.7 "," 4,654.3 "," 4,699.4 "
Transportation," 1,468.9 "," 1,422.3 "," 1,477.6 "," 1,508.6 "," 1,553.9 "," 1,580.7 "," 1,627.4 "," 1,643.5 "," 1,678.9 "," 1,746.3 "," 1,792.2 "," 1,762.5 "," 1,803.0 "," 1,812.0 "," 1,845.2 "," 1,858.6 "," 1,859.1 "," 1,860.7 "," 1,759.7 "," 1,688.5 "," 1,696.6 "," 1,670.4 "," 1,659.4 "," 1,669.0 "," 1,707.3 "," 1,718.4 "," 1,757.9 "," 1,780.3 "," 1,813.1 "," 1,816.6 "," 1,572.8 "," 1,753.5 "," 1,751.3 "
Electricity Generation," 1,820.0 "," 1,817.4 "," 1,830.7 "," 1,906.2 "," 1,930.5 "," 1,947.2 "," 2,020.2 "," 2,087.5 "," 2,176.6 "," 2,189.7 "," 2,296.2 "," 2,257.2 "," 2,272.2 "," 2,303.7 "," 2,335.1 "," 2,400.1 "," 2,344.4 "," 2,411.1 "," 2,359.3 "," 2,145.3 "," 2,258.6 "," 2,158.1 "," 2,023.3 "," 2,038.3 "," 2,037.2 "," 1,900.6 "," 1,808.9 "," 1,732.0 "," 1,753.4 "," 1,606.7 "," 1,439.6 "," 1,540.9 "," 1,531.7 "
Industrial, 876.5 , 866.7 , 889.1 , 891.2 , 890.8 , 907.5 , 926.7 , 921.8 , 905.6 , 863.6 , 887.2 , 866.6 , 858.0 , 852.4 , 877.4 , 847.6 , 868.4 , 858.6 , 825.0 , 751.9 , 791.1 , 793.4 , 793.9 , 825.8 , 820.8 , 793.0 , 788.3 , 780.4 , 810.5 , 809.8 , 762.0 , 780.5 , 801.1 
Residential, 338.6 , 347.7 , 354.0 , 366.1 , 357.0 , 353.1 , 383.5 , 365.0 , 331.6 , 350.9 , 371.7 , 363.1 , 361.1 , 380.1 , 369.1 , 358.9 , 321.7 , 341.2 , 347.9 , 335.9 , 334.5 , 326.3 , 282.5 , 329.3 , 346.7 , 317.6 , 293.2 , 294.0 , 338.9 , 342.9 , 314.8 , 318.0 , 334.1 
Commercial, 228.3 , 232.7 , 228.0 , 223.0 , 224.7 , 227.8 , 237.6 , 237.8 , 220.1 , 220.7 , 236.5 , 228.5 , 229.0 , 240.1 , 238.0 , 227.1 , 211.8 , 223.1 , 227.5 , 227.7 , 224.3 , 224.6 , 200.4 , 224.3 , 232.6 , 244.8 , 231.9 , 232.4 , 246.3 , 251.7 , 229.3 , 237.5 , 258.7 
U.S. Territories, 20.0 , 19.2 , 21.9 , 22.6 , 24.7 , 21.5 , 19.8 , 20.1 , 19.4 , 15.5 , 37.0 , 49.7 , 45.2 , 50.4 , 52.9 , 51.9 , 51.3 , 46.6 , 38.5 , 39.0 , 34.5 , 34.1 , 33.0 , 28.1 , 28.3 , 28.5 , 26.2 , 25.9 , 25.9 , 24.8 , 23.3 , 23.8 , 22.6 
Non-Energy Use of Fuels, 99.1 , 102.6 , 105.2 , 93.7 , 102.4 , 103.3 , 101.4 , 109.0 , 121.6 , 133.1 , 123.4 , 117.9 , 120.7 , 114.3 , 132.2 , 125.0 , 123.9 , 112.6 , 107.2 , 89.7 , 90.1 , 88.3 , 91.2 , 104.6 , 92.2 , 105.7 , 98.7 , 107.1 , 118.4 , 106.5 , 97.8 , 111.6 , 102.8 
Natural Gas Systems, 32.4 , 31.6 , 31.5 , 31.2 , 31.1 , 29.1 , 27.4 , 27.1 , 25.0 , 25.5 , 26.0 , 25.7 , 26.1 , 26.0 , 26.4 , 26.3 , 27.1 , 27.4 , 28.0 , 26.4 , 26.5 , 26.8 , 26.3 , 28.2 , 29.1 , 29.4 , 29.9 , 31.5 , 32.8 , 38.5 , 36.7 , 35.8 , 36.5 
