Table 3-107:  Transmission Compressor Station National CO2 Emissions (Metric Tons CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Station Total Emissions,"32,285"," 32,285 "," 32,285 "," 31,102 "," 29,937 "," 28,790 "," 27,645 "," 27,250 "," 27,194 "," 26,556 "," 25,847 "," 23,570 "," 23,794 "," 22,520 "," 21,496 ","20,747"," 19,483 "," 19,064 "," 19,094 "," 18,768 "," 18,234 "," 17,213 "," 17,081 "," 17,129 "," 16,745 "," 16,699 "," 16,224 "," 16,633 ","17,110","17,242","17,085","17,244","17,327"
Station + Compressor Fugitive Emissions,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 3,430 "," 3,398 "," 3,409 "," 3,373 "," 3,347 "," 3,251 "," 3,343 ","3,492","3,554","3,541","3,693","3,773"
Reciprocating Compressor,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 10,775 "," 10,645 "," 10,469 "," 10,126 "," 10,273 "," 9,959 "," 10,093 ","10,237","10,084","9,816","9,573","9,502"
Centrifugal Compressor (wet seals),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 1,466 "," 1,540 "," 1,666 "," 1,644 "," 1,512 "," 1,416 "," 1,363 ","1,476","1,518","1,542","1,580","1,488"
Centrifugal Compressor (dry seals),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 1,543 "," 1,499 "," 1,586 "," 1,603 "," 1,568 "," 1,599 "," 1,833 ","1,906","2,087","2,187","2,398","2,565"
Dehydrator vents,59, 59 , 59 , 58 , 57 , 57 , 56 , 57 , 58 , 59 , 59 , 56 , 58 , 57 , 57 ,57, 56 , 57 , 59 , 61 , 62 , 62 , 61 , 61 , 61 , 60 , 58 , 60 ,63,64,64,66,68
Flaring,"78,386"," 78,386 "," 78,386 "," 77,526 "," 76,665 "," 75,804 "," 74,898 "," 76,030 "," 78,205 "," 78,794 "," 79,202 "," 74,671 "," 78,024 "," 76,529 "," 75,804 ","76,030"," 74,309 "," 75,804 "," 79,293 "," 81,558 "," 83,099 "," 82,464 "," 81,694 "," 81,966 "," 81,105 "," 80,471 "," 81,899 "," 72,193 ","70,366","78,424","93,510","62,974","82,004"
Pneumatic Devices Transmission,"6,274"," 6,315 "," 6,264 "," 6,122 "," 5,981 "," 5,841 "," 5,703 "," 5,567 "," 5,431 "," 5,298 "," 5,166 "," 5,035 "," 4,905 "," 4,778 "," 4,651 ","4,526"," 4,403 "," 4,281 "," 4,160 "," 4,041 "," 3,923 "," 3,807 "," 3,340 "," 3,190 ", 848 , 777 , 681 ," 1,059 ",945,915,863,841,876
High Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE, 879 , 417 , 394 , 365 , 409 , 275 , 291 ,290,280,256,226,221
Intermittent Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 2,908 "," 2,898 "," 2,773 ", 460 , 354 , 391 , 747 ,631,614,587,598,639
Low Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE, 20 , 24 , 23 , 23 , 15 , 15 , 20 ,23,21,20,17,16
Station Venting ,"4,276"," 4,276 "," 4,276 "," 4,229 "," 4,182 "," 4,135 "," 4,086 "," 4,148 "," 4,266 "," 4,299 "," 4,321 "," 4,074 "," 4,257 "," 4,175 "," 4,135 ","4,148"," 4,054 "," 4,135 "," 4,326 "," 4,449 "," 4,533 "," 4,499 "," 4,457 "," 4,472 "," 4,425 "," 4,390 "," 4,264 "," 4,385 ","4,580","4,662","4,645","4,845","4,949"
Total Emissions,"121,281"," 121,322 "," 121,271 "," 119,036 "," 116,822 "," 114,627 "," 112,388 "," 113,052 "," 115,155 "," 115,006 "," 114,594 "," 107,405 "," 111,038 "," 108,058 "," 106,143 ","105,508"," 102,304 "," 103,341 "," 106,932 "," 108,877 "," 109,851 "," 108,044 "," 106,632 "," 106,818 "," 103,184 "," 102,397 "," 103,127 "," 94,329 ","93,065","101,307","116,166","85,970","105,224"
Previous Estimate,"121,473"," 122,279 "," 121,283 "," 119,427 "," 117,586 "," 115,760 "," 113,948 "," 112,150 "," 110,366 "," 108,596 "," 106,841 "," 105,101 "," 103,374 "," 101,662 "," 99,964 ","98,281"," 96,611 "," 94,956 "," 93,316 "," 91,689 "," 90,077 "," 88,479 "," 93,427 "," 100,773 "," 105,840 "," 106,356 "," 111,726 "," 100,063 ","101,654","118,915","140,933","102,280",NA
NE (Not Estimated at individual source level due to lack of data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
