"Table 3-11:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by End-Use Sector with Electricity Emissions Distributed (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Use Sector ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Transportation,1517.6,1472.2,1530.0,1562.7,1610.1,1638.3,1686.2,1703.4,1739.4,1804.3,1849.5,1817.7,1856.3,1864.2,1895.4,1904.6,1905.2,1904.4,1800.0,1726.9,1734.0,1706.5,1693.0,1701.1,1737.5,1746.5,1784.9,1806.3,1838.4,1843.4,1595.6,1778.0,1776.7
CO2,1472.0,1425.3,1480.6,1511.6,1557.1,1583.7,1630.4,1646.6,1682.1,1749.6,1795.6,1766.1,1806.5,1816.3,1849.8,1863.3,1863.7,1865.8,1764.4,1693.0,1701.1,1674.7,1663.4,1673.3,1711.8,1722.6,1762.1,1784.6,1817.9,1821.4,1576.9,1758.6,1757.4
CH4,7.2,7.0,7.1,7.0,7.0,6.9,6.8,6.6,6.4,5.8,5.5,5.2,5.0,4.7,4.6,4.3,4.2,4.1,3.8,3.6,3.6,3.6,3.4,3.3,3.1,3.1,3.0,2.9,2.8,2.9,2.5,2.6,2.6
N2O,38.4,39.9,42.3,44.1,46.0,47.7,49.0,50.2,50.9,49.0,48.3,46.4,44.9,43.2,41.1,37.0,37.4,34.5,31.9,30.3,29.3,28.2,26.2,24.5,22.6,20.8,19.8,18.7,17.7,19.1,16.1,16.8,16.7
Industrial,1574.8,1552.5,1600.4,1612.6,1626.7,1636.0,1676.1,1689.9,1688.6,1649.3,1689.7,1614.4,1593.7,1607.7,1636.0,1597.0,1592.8,1586.3,1534.1,1364.5,1444.2,1430.1,1398.5,1432.7,1425.9,1353.9,1317.0,1295.5,1322.4,1285.0,1180.8,1235.2,1248.2
CO2,1562.9,1540.9,1588.3,1600.4,1614.1,1623.4,1663.3,1677.0,1675.9,1636.7,1676.7,1602.2,1581.5,1595.2,1622.9,1584.0,1579.8,1573.5,1521.7,1353.6,1432.1,1418.1,1387.0,1420.6,1413.8,1342.5,1305.9,1284.8,1311.8,1275.3,1171.8,1225.6,1238.0
CH4,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.4,2.3,2.4,2.2,2.2,2.1,2.3,2.2,2.3,2.2,2.1,1.9,2.1,2.1,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,1.9
N2O,9.7,9.5,9.8,9.9,10.2,10.2,10.3,10.5,10.4,10.3,10.6,10.0,10.0,10.4,10.8,10.8,10.7,10.6,10.3,9.1,10.0,9.8,9.3,9.9,9.9,9.2,9.0,8.7,8.5,7.6,7.1,7.6,8.2
Residential,944.2,962.6,958.8,1011.1,1001.7,1007.5,1069.0,1057.6,1061.8,1082.7,1146.9,1138.2,1166.1,1196.7,1195.4,1230.1,1166.3,1219.2,1205.9,1137.5,1191.1,1132.9,1022.0,1080.0,1097.0,1016.2,960.6,924.3,995.7,940.2,871.6,902.1,912.9
CO2,931.3,949.3,945.4,998.0,989.0,994.7,1055.6,1045.2,1049.8,1070.5,1133.9,1125.5,1152.7,1182.7,1180.9,1214.9,1151.9,1204.1,1190.4,1122.2,1174.6,1117.1,1008.1,1064.0,1080.8,1001.4,946.7,911.1,981.2,926.7,860.1,890.3,899.4
CH4,6.0,6.2,6.5,5.8,5.5,5.5,5.7,4.8,4.3,4.4,4.7,4.4,4.5,4.7,4.8,4.9,4.4,4.8,5.1,5.4,5.7,5.5,4.7,5.9,6.0,5.5,4.8,4.7,5.6,5.8,4.2,4.2,4.8
N2O,6.9,7.0,6.9,7.3,7.3,7.4,7.6,7.5,7.7,7.8,8.3,8.3,8.9,9.3,9.7,10.3,10.1,10.4,10.3,9.9,10.8,10.2,9.2,10.0,10.1,9.3,9.1,8.5,8.8,7.7,7.3,7.7,8.7
Commercial,773.1,778.3,772.2,792.4,804.3,822.0,853.9,895.1,913.4,922.9,986.6,993.1,992.2,1004.1,1021.5,1040.9,1020.9,1062.4,1054.0,991.2,1008.3,973.4,910.9,939.5,949.1,918.2,875.8,848.5,861.0,813.1,717.6,764.6,791.6
CO2,766.0,771.2,765.1,785.0,796.8,814.4,846.1,886.9,905.1,914.5,977.6,983.9,982.7,994.2,1011.2,1030.1,1010.1,1051.3,1042.9,980.6,997.3,962.8,901.1,928.8,938.2,907.9,865.5,838.7,851.3,804.4,709.6,756.1,782.0
CH4,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.5,1.4,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.9,1.8,1.8,1.8
N2O,5.7,5.8,5.7,6.0,6.1,6.3,6.4,6.8,7.0,7.1,7.6,7.8,8.1,8.4,8.8,9.3,9.3,9.6,9.5,9.0,9.5,9.1,8.4,9.1,9.2,8.6,8.5,8.0,7.8,6.8,6.2,6.7,7.7
U.S. Territoriesa,20.1,19.3,22.0,22.7,24.8,21.6,19.9,20.2,19.5,15.5,37.2,49.9,45.3,50.6,53.1,52.1,51.5,46.8,38.6,39.1,34.6,34.2,33.1,28.2,28.4,28.6,26.3,26.0,26.0,24.9,23.4,23.9,22.7
