Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gasoline a,958.9,944.6,973.7,987.2,999.7,1013.1,1036.5,1048.8,1079.4,1113.0,1118.2,1118.4,1142.7,1162.3,1166.9,1150.1,1142.8,1135.5,1071.7,1071.4,1059.3,1035.7,1030.4,1028.0,1066.6,1058.8,1084.4,1081.8,1097.0,1086.5,936.9,1028.7,1014.5
Passenger Cars,612.8,589.0,592.4,585.6,577.8,570.1,567.4,558.1,558.1,558.5,552.2,544.4,548.3,548.5,536.0,518.9,500.9,493.5,467.1,465.6,457.0,425.5,373.3,380.7,393.1,383.7,386.5,375.2,382.5,380.0,328.0,360.5,356.0
Light-Duty Trucks,283.6,294.8,320.1,340.9,361.7,383.3,409.4,431.6,462.2,495.1,510.5,520.5,541.3,560.3,579.5,583.4,590.9,593.0,557.1,560.3,560.6,571.1,617.1,607.1,631.4,633.1,653.9,661.5,667.6,658.6,565.7,619.9,609.5
Medium- and Heavy-Duty Trucks b,42.8,41.1,41.3,40.8,40.2,39.7,39.5,38.8,38.7,38.7,35.4,34.1,33.7,33.8,31.0,28.1,29.5,27.0,26.8,25.0,22.5,20.4,20.6,21.1,22.6,22.7,24.1,24.9,26.2,27.0,24.1,27.4,27.9
Buses,2.1,2.0,2.0,1.9,1.8,1.7,1.7,1.6,1.6,1.5,1.4,1.1,1.2,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.5,1.7,2.0,2.1,2.3,2.5,2.7,2.8,2.5,2.9,2.9
Motorcycles,3.4,3.4,3.6,3.7,3.9,4.0,4.2,4.4,4.6,4.9,4.4,4.0,4.1,4.2,5.4,4.9,6.8,7.5,7.1,7.1,6.3,6.2,7.0,6.7,6.9,6.7,7.1,7.0,7.3,7.4,6.6,7.4,7.4
Recreational Boats c,14.3,14.3,14.4,14.2,14.2,14.2,14.3,14.3,14.3,14.3,14.3,14.2,14.1,14.2,13.9,13.7,13.5,13.2,12.4,12.2,11.6,11.2,11.0,10.7,10.5,10.5,10.6,10.6,10.7,10.7,9.9,10.6,10.8
Distillate Fuel Oil (Diesel) a,274.6,266.2,281.9,298.5,318.6,333.5,348.6,364.4,378.2,396.8,413.3,409.8,423.9,434.3,453.2,472.1,482.9,486.4,462.5,415.8,434.7,435.6,433.2,435.5,450.5,464.8,461.1,474.9,486.6,484.1,455.2,488.1,483.9
Passenger Cars,9.4,8.4,8.1,7.8,7.4,6.7,6.0,5.3,4.4,3.4,3.1,2.7,2.5,2.3,2.2,2.2,2.1,1.9,1.7,1.7,2.0,2.4,2.4,2.5,2.7,3.3,3.1,3.0,2.8,2.7,2.5,2.7,2.7
Light-Duty Trucks,8.4,8.6,9.5,10.6,11.8,12.8,13.9,15.2,16.4,18.0,19.7,20.6,22.8,24.1,27.7,30.4,31.9,31.8,29.2,28.0,28.3,30.7,33.4,31.0,30.8,31.4,30.9,31.1,31.2,31.2,30.2,33.3,33.8
Medium- and Heavy-Duty Trucks b,189.0,184.1,195.8,210.4,225.7,236.5,248.3,261.9,274.2,291.4,307.1,308.3,319.6,327.1,340.0,357.2,364.9,369.8,352.3,315.7,330.4,325.4,323.9,7.0,341.6,347.6,350.1,362.0,371.5,373.0,353.5,380.1,375.6
Buses,11.1,10.8,11.4,12.3,13.1,13.7,14.4,15.2,15.9,16.8,17.4,14.4,15.1,14.6,15.4,15.5,16.1,16.3,15.5,14.7,14.5,15.3,16.1,16.3,17.8,18.6,18.6,19.7,20.4,20.7,19.8,21.4,21.4
Rail,35.5,33.4,34.4,35.3,38.1,39.6,40.3,40.5,40.8,42.3,42.6,42.6,42.3,43.3,45.7,46.1,48.2,46.7,43.4,36.1,38.9,40.2,39.4,39.8,41.6,39.7,36.1,37.4,38.5,36.0,31.2,32.5,32.5
Recreational Boats c,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.8,2.8,2.8,2.8,2.7,2.6,2.6,2.5,2.5,2.6,2.7,2.8,2.8,2.9,2.6,2.8,3.0
Ships and Non-Recreational Boats d,6.8,7.2,9.2,8.5,10.7,11.9,14.3,14.4,12.1,13.6,14.2,13.0,12.6,12.4,8.6,8.4,8.0,8.7,8.6,8.6,8.3,11.0,8.5,8.6,7.4,13.1,10.9,10.0,9.3,7.5,7.6,7.8,7.8
International Bunker Fuels e,11.7,11.0,10.8,10.8,9.0,9.3,8.4,9.3,11.7,8.4,6.4,5.4,6.2,7.8,10.7,9.5,8.9,8.3,9.1,8.2,9.5,8.0,6.8,5.6,6.1,8.4,8.7,9.0,10.0,10.1,7.8,7.4,7.2
Jet Fuel,222.3,215.2,213.4,215.1,223.9,222.1,235.6,238.9,242.4,250.0,257.0,246.1,239.9,234.5,242.9,249.5,242.6,241.0,229.2,206.9,212.5,211.4,207.9,212.8,218.0,229.5,240.1,249.4,255.2,258.5,160.4,203.5,231.5
Commercial Aircraft f,109.9,103.3,105.5,108.7,113.5,115.2,118.6,122.9,119.7,130.3,139.3,124.6,121.3,122.9,124.8,132.7,137.0,139.7,127.3,119.5,113.3,114.6,113.3,114.3,115.2,119.0,120.4,128.0,129.6,136.7,91.3,119.0,129.7
Military Aircraft,35.7,34.9,28.5,27.8,25.2,24.8,24.9,22.9,23.2,22.5,23.1,24.8,22.1,22.5,23.0,19.8,18.2,18.2,17.9,15.7,13.9,11.8,12.3,11.2,14.3,13.8,12.5,12.5,12.1,12.2,11.7,12.5,12.4
General Aviation Aircraft,38.5,30.5,32.5,31.5,36.6,32.1,40.9,38.6,45.4,39.5,32.5,40.2,41.7,33.8,38.7,36.8,27.0,21.5,27.8,18.8,24.2,20.1,17.7,21.5,18.8,24.7,33.0,31.2,30.6,31.4,17.6,21.1,22.7
International Bunker Fuels e,38.2,46.5,46.9,47.0,48.5,50.0,51.1,54.6,54.2,57.7,62.1,56.5,54.7,55.3,56.3,60.2,60.4,61.6,56.2,52.9,61.0,64.9,64.6,65.7,69.7,72.0,74.1,77.8,83.0,78.3,39.8,50.8,66.6
International Bunker Fuels from Commercial Aviation ,30.0,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3,68.6,70.8,74.5,79.8,75.1,36.7,47.6,63.5
Aviation Gasoline,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4,1.5,1.5
General Aviation Aircraft,3.1,2.9,2.8,2.7,2.6,2.7,2.6,2.7,2.5,2.7,2.5,2.4,2.3,2.1,2.2,2.4,2.3,2.2,2.0,1.8,1.9,1.9,1.7,1.5,1.5,1.5,1.4,1.4,1.5,1.6,1.4,1.5,1.5
Residual Fuel Oil,76.3,77.0,80.3,67.7,66.3,68.4,63.9,53.4,50.6,50.0,66.6,44.0,50.8,42.9,55.5,62.9,68.0,74.6,69.5,59.4,67.0,58.3,50.4,43.6,33.5,34.8,46.8,49.9,45.4,39.7,29.4,46.2,47.3
Ships and Non-Recreational Boats e,22.6,16.9,30.0,27.6,26.9,29.1,23.6,10.3,5.9,13.2,33.3,12.0,17.1,7.4,14.0,19.3,23.0,29.0,20.4,13.9,20.4,19.4,15.8,15.1,5.8,4.2,12.9,16.5,14.0,14.5,7.3,24.2,22.9
International Bunker Fuels e,53.7,60.2,50.3,40.1,39.4,39.3,40.3,43.2,44.7,36.8,33.3,32.0,33.7,35.4,41.5,43.6,45.0,45.6,49.2,45.4,46.5,38.9,34.5,28.5,27.7,30.6,33.8,33.4,31.4,25.2,22.1,21.9,24.4
Natural Gas i,36.0,32.9,32.2,34.2,37.6,38.4,39.1,41.4,35.3,35.8,35.7,34.9,37.1,33.3,31.9,33.1,33.1,35.2,36.7,37.9,38.2,38.9,41.4,47.0,40.2,39.4,40.1,42.3,50.9,58.9,58.7,65.2,70.2
