Table 3-18:  Comparison of Electric Power Sector Emissions (MMT CO2 Eq. and Percent),,,,,
Fuel/Sector,CO2 Emissions (MMT CO2 Eq.),,,% Change,
,2020,2021,2022,20-21,21-22
Inventory Electric Power Sector,"1,439.60","1,540.90","1,531.70",7.00%,-0.60%
Coal,788.2,910.1,851.5,15.50%,-6.40%
Natural Gas,634.8,612.8,659.3,-3.50%,7.60%
Petroleum,16.2,17.7,20.5,9.60%,15.90%
AMP Electric Power Sector,"1,430.80","1,531.70","1,520.10",7.10%,-0.80%
Coal,792.7,913.4,858.5,15.20%,-6.00%
Natural Gas,629.4,609.6,652.7,-3.10%,7.10%
Petroleum,8.8,8.7,8.9,-0.80%,2.70%
Note: Totals may not sum due to independent rounding.,,,,,
