Table 3-44:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,3.0,3.1,3.3,3.7,2.8,2.7,3.2,3.8,3.0,1.9,2.8,3.4,2.9,3.7,4.3,5.3,7.0,7.0,8.7,5.0,6.7,8.4,8.5,7.2,5.9,2.6,0.8,0.5,0.5,0.5,0.3,0.2,0.1
Production,45.5,45.6,44.7,44.7,44.4,44.8,46.2,46.4,45.3,44.2,44.4,44.4,44.2,44.5,44.6,42.0,44.6,44.1,45.5,44.3,44.2,45.1,43.6,54.7,58.0,58.0,49.4,59.2,57.5,50.6,52.0,47.5,38.6
Pneumatic Controllers,21.3,21.5,21.1,21.3,21.1,21.4,22.3,22.9,22.5,22.1,22.6,22.7,22.6,22.5,22.6,22.7,22.7,22.3,23.5,23.0,23.2,23.5,20.9,31.1,33.2,33.3,26.2,37.3,34.7,24.7,31.3,28.1,19.4
Offshore Production,9.9,9.9,10.1,10.0,10.5,10.8,11.2,10.8,10.7,10.5,10.1,9.9,9.9,10.1,10.1,7.2,9.6,9.4,9.0,8.3,7.4,7.2,7.0,6.7,6.4,6.1,5.7,5.7,5.5,5.4,5.1,5.1,5.1
Equipment Leaks,2.3,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3.0,3.2,3.2,3.4,3.6,3.8,3.9,4.2,4.2,3.7,3.3,3.7,3.9,3.2,3.2,3.1
Gas Engines,2.3,2.3,2.2,2.3,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.5,2.6,2.6,2.5,2.5,2.5,2.6,2.5,2.4,2.5
Produced Water,2.6,2.5,2.4,2.3,2.1,2.1,2.0,2.0,1.9,1.8,1.8,1.8,1.7,2.0,1.8,1.8,1.8,1.9,1.9,1.9,2.0,2.1,2.2,2.3,2.5,2.4,2.3,2.4,2.7,2.8,2.5,2.6,2.7
Chemical Injection Pumps,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.7,1.9,1.9,2.0,2.1,2.1,2.2,2.3,2.4,2.6,2.7,2.8,3.0,3.2,3.5,3.8,3.9,3.8,3.2,3.0,3.4,2.7,2.4,2.2
Assoc Gas Flaring,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.8,1.0,1.2,1.3,0.8,1.1,1.9,2.5,1.3,1.0,0.8
Other Sources,5.3,5.2,4.9,4.6,4.3,4.1,4.2,3.9,3.6,3.3,3.2,3.1,3.0,2.9,2.8,2.8,2.8,2.7,2.8,2.6,2.7,2.9,3.4,3.7,4.1,4.1,4.2,3.7,3.5,5.3,3.3,2.7,2.7
Crude Oil Transportation,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2
Refining,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.7,0.7,0.7
Total ,49.4,49.6,48.9,49.3,48.2,48.4,50.3,51.1,49.3,47.0,48.2,48.7,48.0,49.2,49.8,48.2,52.6,52.0,55.1,50.1,51.8,54.5,53.0,62.9,64.8,61.6,51.2,60.8,59.0,52.2,53.3,48.6,39.6
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
