Table 3-45:  CH4 Emissions from Petroleum Systems (kt CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,106,111,116,131,101,98,113,136,106,67,101,121,103,132,153,189,252,251,310,178,240,300,302,256,210,91,30,19,19,16,12,7,4
Production  ,1626,1630,1598,1596,1587,1599,1650,1657,1619,1578,1586,1584,1578,1590,1592,1500,1591,1573,1626,1581,1578,1609,1556,1955,2070,2072,1763,2115,2052,1809,1858,1696,1377
Pneumatic Controllers,761,769,752,762,755,765,795,818,804,788,806,812,806,805,808,811,812,795,838,820,829,838,745,1112,1184,1191,937,1334,1240,881,1119,1003,694
Offshore Production,353,355,360,358,376,385,398,386,380,376,360,355,355,359,361,259,344,335,322,295,266,258,250,238,228,219,205,204,197,193,183,182,182
Equipment Leaks,82,82,81,84,82,83,86,89,87,86,90,91,94,95,99,101,104,106,114,116,120,128,134,140,150,149,133,119,132,138,115,114,112
Gas Engines,81,81,80,82,78,76,76,77,74,70,71,70,70,69,70,70,70,70,74,73,75,78,83,88,93,93,89,88,91,93,89,87,88
Produced Water,92,91,86,81,76,74,72,70,67,63,64,63,61,71,63,64,64,66,69,69,71,74,79,82,88,87,83,86,95,99,90,92,95
Chemical Injection Pumps,47,47,47,49,50,52,56,60,61,62,66,69,71,74,77,80,84,87,94,97,101,107,116,125,136,138,137,115,108,123,96,85,80
Assoc Gas Flaring,20,20,19,18,17,17,17,17,16,15,15,14,14,14,14,14,15,15,16,16,18,22,29,35,43,47,28,38,66,91,47,35,30
Other Sources,189,184,174,163,153,147,150,140,129,117,114,110,106,103,101,100,98,98,99,94,97,105,121,134,148,147,151,131,124,190,119,97,98
Crude Oil Transportation,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,7,8,8,8,8,8,9,8,8,8
Refining,26,26,26,26,27,27,27,28,29,28,29,29,29,29,30,29,29,29,28,28,28,30,29,28,27,29,28,30,28,31,26,25,25
Total ,1765,1773,1746,1759,1720,1730,1797,1826,1759,1678,1721,1739,1715,1756,1779,1723,1877,1859,1969,1791,1851,1945,1893,2246,2315,2200,1829,2171,2108,1865,1904,1737,1415
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
