Table 3-51:  Recalculations of CO2 in Petroleum Systems (MMT CO2),,,
Segment/Source,"Previous Estimate Year 2021, 2023 Inventory","Current Estimate Year 2021, 2024 Inventory","Current Estimate Year 2022, 2024 Inventory"
Exploration,0.5,0.6,0.3
HF Completions,0.5,0.6,0.3
Production ,20,20.5,18.8
Tanks,5.4,5.6,4.5
HF Workovers,0.2,+,+
Pneumatic Controllers,0.1,0.1,0.1
Equipment Leaks,+,+,+
Chemical Injection Pumps,+,+,+
Miscellaneous Production Flaring,4.2,4.6,5
Transportation,+,+,+
Refining,4.2,3,2.9
Flares,4.2,3,2.8
Petroleum Systems Total,24.7,24.1,22
+ Does not exceed 0.05 MMT CO2 Eq.,,,
Note: Totals may not sum due to independent rounding.,,,
