Table 3-6:  Annual Change in CO2 Emissions and Total 2022 CO2 Emissions from Fossil Fuel Combustion for Selected Fuels and Sectors (MMT CO2 Eq. and Percent),,,,,,,,,,
Sector,Fuel Type,2018 to 2019,,2019 to 2020,,2020 to 2021,,2021 to 2022,,Total 2022
Transportation,Petroleum,-4.5,-0.003,-243.5,-0.139,174.2,0.115,-7.2,-0.004,1681.1
Electric Power,Coal,-179.3,-0.156,-185.4,-0.19,121.9,0.155,-58.6,-0.064,851.5
Electric Power,Natural Gas,38.7,0.067,18.2,0.03,-22.1,-0.035,46.5,0.076,659.3
Industrial,Natural Gas,8,0.016,-11.8,-0.024,11.4,0.023,9.2,0.018,510.4
Residential,Natural Gas,1.7,0.006,-19.1,-0.069,2.3,0.009,13.3,0.052,272
Commercial,Natural Gas,0.4,0.002,-19.5,-0.101,6.9,0.04,11.9,0.066,192.3
Transportation,All Fuelsa,3.5,0.002,-243.8,-0.134,180.7,0.115,-2.3,-0.001,1751.3
Electric Power,All Fuelsa,-146.7,-0.084,-167.2,-0.104,101.4,0.07,-9.3,-0.006,1531.7
Industrial,All Fuelsa,-0.7,-0.001,-47.8,-0.059,18.5,0.024,20.6,0.026,801.1
Residential,All Fuelsa,4,0.012,-28.1,-0.082,3.2,0.01,16,0.05,334.1
Commercial,All Fuelsa,5.5,0.022,-22.5,-0.089,8.3,0.036,21.2,0.089,258.7
"All Sectors a,b",All Fuelsa,-135.6,-0.027,-510.9,-0.105,312.6,0.072,45.1,0.01,4699.4
a Includes sector and fuel combinations not shown in this table.,,,,,,,,,,
b Includes U.S. Territories.,,,,,,,,,,
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,
