Table 3-64:  Associated Gas Flaring National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"220 - Gulf Coast Basin (LA, TX)",901,928,889,843,764,704,697,673,644,578,579,562,531,523,499,480,469,458,450,424,474,724,1261,1877,2484,2652,1568,2877,2379,2907,3643,2136,1900
360 - Anadarko Basin,452,434,412,410,396,387,371,357,342,311,299,296,282,274,275,274,287,307,351,361,403,534,711,850,966,1003,4,269,350,90,21,35,30
395 - Williston Basin,2666,2616,2417,2287,2106,2191,2330,2512,2530,2337,2343,2335,2333,2394,2758,3405,3796,3993,4709,5387,6945,8915,13606,17317,21509,23201,16940,20854,36108,58138,28176,21676,18341
430 - Permian Basin,11662,11619,11062,10572,10226,10150,10186,10181,9722,8867,8789,8576,8318,8202,8050,7992,7920,7878,8139,8163,8556,9439,11063,12587,15139,17418,8690,12627,25286,26063,12695,8178,7546
"""Other"" Basins",4314,4307,4134,3860,3728,3552,3414,3319,3117,2801,2703,2612,2588,2535,2432,2335,2213,2209,2194,2113,2075,2080,2135,2259,2450,2531,1190,1306,2089,3760,2353,2790,2072
Total Emissions,19995,19905,18913,17972,17220,16984,16999,17043,16355,14894,14712,14380,14052,13928,14013,14486,14685,14846,15842,16448,18453,21692,28776,34891,42548,46806,28393,37933,66211,90958,46888,34814,29889
"220 - Gulf Coast Basin (LA, TX)",886,915,880,836,759,701,694,675,648,581,588,570,537,530,508,490,476,464,452,425,471,728,1267,1882,2485,2658,1576,2949,2440,2991,3692,1864,NA
360 - Anadarko Basin,447,429,407,406,393,385,369,355,340,309,295,292,280,273,274,274,287,306,350,361,402,534,712,851,967,1003,4,268,348,88,21,41,NA
395 - Williston Basin,2665,2615,2418,2289,2107,2192,2330,2512,2530,2338,2343,2335,2333,2394,2763,3419,3795,3993,4708,5385,6942,8916,13617,17320,21511,23201,16945,20854,36120,48019,23556,18734,NA
430 - Permian Basin,11263,11303,10810,9948,9552,9564,9666,9723,9317,8504,8454,8277,8051,7975,7849,7805,7765,7755,8047,8082,8495,9413,11047,12574,15117,17396,8793,12912,25198,27484,13086,5852,NA
"""Other"" Basins",4369,4352,4169,3934,3806,3619,3474,3369,3159,2839,2735,2641,2614,2556,2448,2347,2225,2219,2202,2121,2084,2080,2130,2259,2452,2531,1185,1280,1992,3563,2295,1802,NA
Previous Estimate,19630,19615,18684,17412,16617,16460,16534,16633,15994,14572,14415,14115,13815,13728,13841,14335,14548,14736,15759,16375,18394,21670,28773,34886,42531,46789,28503,38263,66096,82146,42649,28293,NA
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
