Table 3-7:  CO2 Emissions from Stationary Fossil Fuel Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electric Power,1820.0,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732.0,1753.4,1606.7,1439.6,1540.9,1531.7
Coal,1546.5,1547.2,1568.5,1631.6,1637.9,1659.9,1751.5,1796.0,1827.1,1835.4,1926.4,1868.8,1888.9,1930.0,1942.0,1982.8,1952.7,1986.2,1958.4,1740.2,1827.2,1722.4,1511.7,1571.3,1568.6,1351.4,1242.0,1207.1,1152.9,973.5,788.2,910.1,851.5
Natural Gas,175.4,179.0,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306.0,278.1,296.8,318.9,338.0,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545.0,505.6,577.9,616.6,634.8,612.8,659.3
Fuel Oil,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98.0,53.3,53.0,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2,17.7,20.5
Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Industrial,876.5,866.7,889.1,891.2,890.8,907.5,926.7,921.8,905.6,863.6,887.2,866.6,858.0,852.4,877.4,847.6,868.4,858.6,825.0,751.9,791.1,793.4,793.9,825.8,820.8,793.0,788.3,780.4,810.5,809.8,762.0,780.5,801.1
Coal,157.8,154.6,150.3,152.5,153.5,147.2,140.1,140.2,141.8,132.5,128.5,130.2,119.1,119.4,120.4,117.8,115.6,110.8,106.1,87.1,94.2,86.0,78.2,79.5,79.0,69.8,63.2,58.7,54.4,49.4,43.0,43.0,43.0
Natural Gas,407.4,413.6,429.3,437.0,438.2,461.5,477.2,477.9,466.2,445.6,458.2,420.6,428.1,415.1,418.9,387.8,387.4,397.0,398.7,374.2,407.1,417.2,433.9,450.9,465.9,459.6,464.0,468.1,493.5,501.5,489.7,501.2,510.4
Fuel Oil,311.2,298.5,309.6,301.7,299.2,298.8,309.4,303.7,297.7,285.5,300.6,315.8,310.8,317.9,338.1,342.0,365.4,350.9,320.2,290.6,289.8,290.2,281.8,295.3,275.9,263.5,261.1,253.5,262.6,258.9,229.3,236.3,247.6
Residential,338.6,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,358.9,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,338.9,342.9,314.8,318.0,334.1
