Table 3-73:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,6.7,8.9,5.5,6.1,6.6,5.6,8.2,10.7,10.8,11.3,13.7,17.3,15.0,17.2,18.0,19.6,23.9,23.4,23.6,13.6,10.5,5.3,2.6,1.9,0.9,1.0,0.7,1.4,2.6,2.1,0.2,0.1,0.2
Production,65.2,68.6,69.6,71.6,74.8,75.4,77.7,79.6,80.7,79.7,83.0,86.3,87.9,90.2,93.3,93.4,100.3,104.0,108.6,109.5,107.5,109.7,107.7,106.7,105.1,103.6,98.9,101.6,104.9,103.6,96.7,92.2,89.7
Onshore Production,39.9,42.4,42.3,43.6,45.8,46.1,47.8,49.4,50.6,50.5,52.8,55.7,57.2,59.3,61.7,64.4,67.6,70.4,73.2,73.9,72.9,73.2,69.7,68.2,64.9,61.7,57.0,58.0,60.5,58,53.1,48.3,46.2
Gathering and Boosting,20.5,21.3,22.4,23.0,23.7,23.9,24.5,24.6,24.6,24.1,24.9,25.3,25.3,25.8,26.6,27,27.6,29.1,31.1,31.6,32.7,34.9,36.6,37.4,39.3,41.2,41.1,42.9,43.6,44.8,42.7,43.3,42.8
Offshore Production,4.8,4.9,4.9,5.1,5.3,5.4,5.4,5.6,5.4,5.1,5.3,5.3,5.4,5.1,5.0,2,5.1,4.5,4.3,3.9,1.8,1.5,1.4,1.2,0.9,0.7,0.9,0.7,0.9,0.8,0.9,0.6,0.6
Processing,23.9,23.6,23.7,23.0,22.5,20.4,18.4,17.7,15.6,15.9,15.5,14.7,14.8,14.0,13.5,13,12.7,12.3,11.9,11.6,11.3,11.2,11.2,12.0,12.3,12.3,12.5,12.9,13.5,14.2,13.8,14.2,15.1
Transmission and Storage,64,64.6,65.0,63.4,61.9,60.3,58.4,57.7,56.7,55.4,54.6,51.0,51.1,49.2,48.6,46,44.3,43.7,43.5,42.7,42.6,41.4,40.7,40.9,40.5,42.4,41.6,39.9,41.2,40.5,41.1,39.8,39.6
Distribution,50.9,50.3,49.0,48.5,48.8,45.3,42.9,41.7,40.5,38.2,36.6,35.2,33.5,31.1,29.9,28.5,27.1,22.8,21.7,19.8,17.9,16.5,16.5,16.3,16.1,16.0,15.9,15.7,15.6,15.5,15.5,15.3,15.2
Post-Meter,8.1,8.2,8.3,8.4,8.7,9.0,9.0,9.1,9.4,9.5,9.7,9.6,9.7,9.4,9.6,9.6,9.9,10.1,10.1,10.0,10.1,10.0,10.7,10.4,10.8,11.6,11.9,11.9,12.5,12.8,13,13,13.4
Total ,218.8,224.1,221.1,221.0,223.3,216.0,214.4,216.6,213.7,210.0,213.2,214.1,212.1,211.1,212.9,210.1,218.1,216.2,219.4,207.1,199.9,194.1,189.3,188.2,185.7,186.9,181.5,183.4,190.3,188.7,180.3,174.6,173.1
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
