Table 3-74:  CH4 Emissions from Natural Gas Systems (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Exploration,238, 319 , 196 , 218 , 235 , 199 , 293 , 381 , 387 , 403 , 490 , 619 , 537 , 614 , 642 ,700, 855 , 835 , 844 , 484 , 374 , 191 , 93 , 70 , 33 , 37 , 24 , 48 ,93,75,7,4,6
Production,"2,328"," 2,451 "," 2,485 "," 2,556 "," 2,673 "," 2,694 "," 2,773 "," 2,844 "," 2,882 "," 2,848 "," 2,965 "," 3,082 "," 3,139 "," 3,222 "," 3,331 ","3,335"," 3,581 "," 3,714 "," 3,878 "," 3,911 "," 3,839 "," 3,917 "," 3,848 "," 3,810 "," 3,753 "," 3,699 "," 3,532 "," 3,629 ","3,748","3,701","3,453","3,293","3,202"
Onshore Production,"1,424"," 1,515 "," 1,510 "," 1,555 "," 1,637 "," 1,647 "," 1,706 "," 1,764 "," 1,809 "," 1,805 "," 1,884 "," 1,988 "," 2,042 "," 2,117 "," 2,202 ","2,299"," 2,415 "," 2,513 "," 2,613 "," 2,641 "," 2,605 "," 2,615 "," 2,490 "," 2,434 "," 2,318 "," 2,203 "," 2,034 "," 2,072 ","2,162","2,073","1,895","1,726","1,650"
Gathering and Boosting,733, 762 , 800 , 820 , 847 , 855 , 876 , 880 , 879 , 862 , 891 , 904 , 905 , 922 , 950 ,963, 985 ," 1,039 "," 1,112 "," 1,128 "," 1,169 "," 1,247 "," 1,307 "," 1,335 "," 1,403 "," 1,472 "," 1,466 "," 1,531 ","1,556","1,601","1,527","1,545","1,528"
Offshore Production,170, 174 , 175 , 181 , 189 , 192 , 192 , 200 , 194 , 181 , 191 , 191 , 191 , 182 , 179 ,73, 181 , 162 , 154 , 141 , 64 , 55 , 51 , 41 , 31 , 24 , 32 , 26 ,31,28,32,22,23
Processing,853, 843 , 848 , 822 , 802 , 729 , 657 , 632 , 559 , 567 , 555 , 526 , 529 , 500 , 483 ,463, 452 , 439 , 427 , 413 , 402 , 400 , 400 , 429 , 441 , 441 , 447 , 460 ,483,507,495,507,541
Transmission and Storage,"2,285"," 2,306 "," 2,320 "," 2,263 "," 2,211 "," 2,152 "," 2,085 "," 2,062 "," 2,024 "," 1,980 "," 1,949 "," 1,821 "," 1,826 "," 1,758 "," 1,736 ","1,645"," 1,581 "," 1,560 "," 1,555 "," 1,524 "," 1,521 "," 1,479 "," 1,452 "," 1,462 "," 1,446 "," 1,513 "," 1,485 "," 1,426 ","1,470","1,448","1,468","1,421","1,413"
Distribution,"1,819"," 1,795 "," 1,751 "," 1,732 "," 1,744 "," 1,618 "," 1,531 "," 1,490 "," 1,445 "," 1,364 "," 1,307 "," 1,256 "," 1,195 "," 1,111 "," 1,068 ","1,018", 967 , 813 , 773 , 709 , 640 , 588 , 588 , 582 , 576 , 571 , 568 , 561 ,556,554,553,547,544
Post-Meter,290, 292 , 298 , 300 , 310 , 322 , 320 , 325 , 337 , 339 , 346 , 342 , 348 , 337 , 344 ,344, 352 , 362 , 360 , 358 , 361 , 356 , 381 , 371 , 385 , 415 , 426 , 424 ,445,457,463,464,477
Total ,"7,813"," 8,005 "," 7,898 "," 7,891 "," 7,974 "," 7,715 "," 7,658 "," 7,735 "," 7,633 "," 7,501 "," 7,613 "," 7,646 "," 7,573 "," 7,540 "," 7,605 ","7,505"," 7,789 "," 7,722 "," 7,837 "," 7,398 "," 7,138 "," 6,930 "," 6,762 "," 6,723 "," 6,633 "," 6,676 "," 6,482 "," 6,548 ","6,795","6,741","6,439","6,235","6,183"
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
