Table 3-96:  Storage Tanks National CO2 Emissions (kt CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Large Tanks w/Flares,587, 576 , 552 , 532 , 514 , 502 , 495 , 485 , 465 , 425 , 427 , 433 , 423 , 421 , 421 ,421, 430 , 447 , 481 , 475 , 509 , 611 , 764 , 954 ," 1,203 "," 1,412 "," 1,396 "," 2,061 ","1,476",974,"1,108","1,049",575
Large Tanks w/VRU,NO,+, 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,2, 2 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 , 6 , 5 ,+,+,+,1,1,+
Large Tanks w/o Control,2, 2 , 2 , 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,36,1,1,1,+
Small Tanks w/Flares,NO, 2 , 3 , 4 , 5 , 6 , 7 , 7 , 8 , 8 , 9 , 10 , 10 , 11 , 12 ,13, 15 , 17 , 19 , 19 , 22 , 25 , 28 , 32 , 38 , 43 , 62 , 70 ,86,82,41,27,20
Small Tanks w/o Flares,48, 45 , 42 , 38 , 36 , 33 , 31 , 30 , 27 , 24 , 23 , 21 , 20 , 19 , 18 ,17, 17 , 17 , 18 , 17 , 17 , 18 , 19 , 19 , 21 , 20 , 24 , 23 ,26,32,23,17,18
Malfunctioning Separator Dump Valves,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+, 2 ,+,+,1,+,+
Total Emissions,637, 625 , 599 , 577 , 557 , 544 , 535 , 525 , 503 , 460 , 461 , 467 , 456 , 454 , 455 ,455, 466 , 485 , 521 , 515 , 552 , 658 , 816 ," 1,011 "," 1,268 "," 1,483 "," 1,488 "," 2,158 ","1,625","1,089","1,175","1,094",613
Previous Estimate,628, 623 , 591 , 570 , 550 , 538 , 531 , 522 , 501 , 457 , 461 , 465 , 454 , 453 , 456 ,456, 466 , 485 , 521 , 518 , 557 , 663 , 820 ," 1,019 "," 1,268 "," 1,482 "," 1,485 "," 1,902 ","1,507",956,862,873,NA
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
