Table 5-3:  CH4 Emissions from Enteric Fermentation (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Beef Cattle,132.8,133.4,139.4,142.5,146.5,151.1,150.4,146.7,144.7,143.9,141.4,140.5,140.6,140.6,138.2,139.6,141.7,142.9,141.6,140.4,139.0,136.0,132.9,131.8,129.5,131.9,137.3,140.9,141.2,141.7,140.5,140.3,137
Dairy Cattle,43.3,42.9,42.3,42.0,41.3,41.2,40.8,40.6,40.2,41.3,41.8,41.5,41.6,41.8,40.5,41.3,42.2,44.0,44.6,45.0,44.6,45.2,45.9,45.9,46.2,47.0,47.6,48.0,48.6,48.5,48.8,49.4,48.9
Swine,2.3,2.4,2.5,2.4,2.5,2.5,2.4,2.5,2.6,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.8,2.8,2.7,2.8,2.8,2.7,2.7,2.9,2.9,3.0,3.1,3.2,3.2,3.1,3.1
Horses,1.1,1.1,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.7,1.8,1.8,1.9,1.9,2,2.0,2.0,2.0,1.9,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1
Sheep,2.9,2.8,2.7,2.6,2.5,2.3,2.1,2.0,2.0,1.8,1.8,1.7,1.7,1.6,1.5,1.5,1.6,1.5,1.5,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Goats,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
American Bison,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total,183.1,183.3,188.7,191.4,194.8,199.2,198.0,194.1,192.0,192.2,190.2,189.0,189.4,189.5,186.0,188.2,191.3,194.5,193.8,192.8,190.8,188.3,185.9,184.7,182.5,185.9,191.9,195.9,196.8,197.3,196.3,196.5,192.6
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
