Table 5-6:  CH4 and N2O Emissions from Manure Management (MMT CO2 Eq.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH4a, 39.1 , 41.0 , 39.4 , 41.3 , 44.3 , 45.7 , 44.8 , 46.9 , 50.7 , 50.8 , 51.1 , 52.6 , 53.5 , 53.8 , 52.1 , 55.0 , 55.1 , 60.1 , 58.2 , 57.0 , 59.1 , 59.6 , 61.8 , 59.3 , 58.8 , 62.9 , 65.1 , 65.6 ,67.7,66.7,66.9,66.4,64.7
Dairy Cattle,16.0, 16.5 , 16.1 , 16.7 , 17.8 , 18.6 , 18.9 , 19.7 , 20.7 , 22.3 , 23.2 , 24.6 , 25.2 , 26.2 , 24.8 ,26.4, 27.0 , 30.1 , 30.1 , 30.3 , 30.6 , 31.2 , 32.5 , 31.9 , 32.5 , 33.7 , 34.5 , 34.9 ,35.7,34.4,34.7,34.3,33.4
Swine,17.4, 18.8 , 17.8 , 19.0 , 20.7 , 21.3 , 20.2 , 21.4 , 24.2 , 22.8 , 22.1 , 22.3 , 22.7 , 21.9 , 21.5 , 22.7 , 22.1 , 23.8 , 22.0 , 20.7 , 22.3 , 22.2 , 23.0 , 21.2 , 20.1 , 22.6 , 23.7 , 23.5 ,24.7,24.9,24.9,24.6,23.8
Poultry,3.8, 3.7 , 3.6 , 3.7 , 3.7 , 3.6 , 3.6 , 3.6 , 3.7 , 3.6 , 3.6 , 3.7 , 3.6 , 3.5 , 3.5 , 3.4 , 3.4 , 3.5 , 3.3 , 3.2 , 3.1 , 3.1 , 3.1 , 2.9 , 2.9 , 3.0 , 3.0 , 3.0 , 3.0 , 3.1 , 3.0 , 3.0 , 3.0 
Beef Cattle,1.8, 1.8 , 1.8 , 1.8 , 1.9 , 1.9 , 1.9 , 1.9 , 1.8 , 1.9 , 1.9 , 1.8 , 1.8 , 2.0 , 2.0 , 2.2 , 2.4 , 2.5 , 2.5 , 2.6 , 2.9 , 3.0 , 3.1 , 3.1 , 3.2 , 3.4 , 3.7 , 4.0 ,4.2,4.1,4.2,4.4,4.3
Horses,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,0.1,0.1,0.1,0.1,0.1
Sheep,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,0.1,0.1,0.1,0.1,0.1
Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
N2Ob, 13.4 , 13.5 , 13.5 , 13.4 , 14.0 , 14.3 , 14.3 , 14.4 , 14.6 , 15.1 , 15.5 , 15.4 , 15.7 , 15.7 , 15.1 , 15.2 , 15.8 , 15.8 , 15.5 , 15.4 , 15.3 , 15.5 , 15.5 , 15.4 , 15.3 , 15.7 , 16.1 , 16.4 , 16.6 , 16.8 , 16.9 , 17.1 , 17.0 
Beef Cattle,5.2, 5.3 , 5.3 , 5.0 , 5.5 , 5.7 , 5.6 , 5.7 , 5.7 , 6.3 , 6.6 , 6.3 , 6.5 , 6.5 , 6.0 ,6.0, 6.3 , 6.2 , 6.0 , 5.8 , 5.8 , 5.8 , 5.7 , 5.6 , 5.5 , 5.5 , 5.7 , 5.9 ,5.9,6,6.1,6.4,6.4
Dairy Cattle,5.5, 5.5 , 5.5 , 5.5 , 5.5 , 5.6 , 5.6 , 5.6 , 5.6 , 5.4 , 5.5 , 5.6 , 5.6 , 5.7 , 5.4 ,5.5, 5.7 , 5.7 , 5.6 , 5.7 , 5.7 , 5.8 , 5.8 , 5.8 , 5.9 , 6.0 , 6.1 , 6.1 ,6.2,6.2,6.2,6.3,6.2
Swine,1.1, 1.1 , 1.2 , 1.2 , 1.3 , 1.2 , 1.2 , 1.3 , 1.4 , 1.3 , 1.3 , 1.3 , 1.4 , 1.4 , 1.4 ,1.5, 1.5 , 1.6 , 1.6 , 1.6 , 1.5 , 1.6 , 1.6 , 1.6 , 1.5 , 1.6 , 1.7 , 1.7 ,1.8,1.8,1.9,1.8,1.8
Poultry,1.3, 1.3 , 1.3 , 1.4 , 1.4 , 1.5 , 1.5 , 1.5 , 1.6 , 1.6 , 1.6 , 1.7 , 1.7 , 1.7 , 1.8 , 1.8 , 1.8 , 1.9 , 1.9 , 1.8 , 1.9 , 1.9 , 2.0 , 2.0 , 2.0 , 2.1 , 2.2 , 2.2 ,2.3,2.3,2.3,2.3,2.3
Sheep,0.1, 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 ,0.3,0.3,0.3,0.3,0.3
Horses,0.1, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 ,0.1,0.1,0.1,0.1,0.1
Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bisonc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total,52.5, 54.5 , 53.0 , 54.7 , 58.3 , 60.1 , 59.1 , 61.4 , 65.4 , 65.9 , 66.5 , 68.0 , 69.2 , 69.5 , 67.1 , 70.2 , 70.9 , 75.9 , 73.7 , 72.3 , 74.4 , 75.1 , 77.4 , 74.7 , 74.2 , 78.5 , 81.1 , 82.0 ,84.3,83.5,83.8,83.6,81.7
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
