Table 5-7:  CH4 and N2O Emissions from Manure Management (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Animal Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CH4a,"1,398","1,463","1,408","1,476","1,582","1,632","1,601","1,676","1,812","1,815","1,823","1,880","1,911","1,923","1,860","1,964","1,967","2,147","2,077","2,034","2,111","2,130","2,208","2,118","2,102","2,246","2,324","2,343","2,418","2,382","2,390","2,373","2,312"
Dairy Cattle,572,589,573,596,636,665,676,705,739,796,830,878,899,936,886,943,963,"1,075","1,075","1,080","1,092","1,115","1,160","1,140","1,159","1,203","1,232","1,248","1,274","1,227","1,238","1,226","1,193"
Swine,621,673,636,677,739,762,721,766,865,813,790,797,810,781,769,812,789,851,786,740,797,791,821,756,719,808,846,840,882,890,888,877,851
Poultry,135,131,127,131,131,129,127,130,133,129,128,131,128,126,124,123,123,124,118,113,112,110,111,105,103,109,108,107,108,111,109,108,108
Beef Cattle,63,63,64,64,67,69,68,66,66,67,66,65,66,70,72,78,85,89,91,94,102,107,110,111,114,120,132,142,149,148,150,157,154
Horses,4,4,4,4,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,2
Sheep,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bison,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
N2Ob,50,51,51,50,53,54,54,54,55,57,58,58,59,59,57,57,60,60,59,58,58,58,59,58,58,59,61,62,63,63,64,65,64
Beef Cattle,20,20,20,19,21,22,21,21,22,24,25,24,25,24,23,23,24,23,23,22,22,22,21,21,21,21,22,22,22,23,23,24,24
Dairy Cattle,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23,24,24,23
Swine,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7
Poultry,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9
Sheep,+,+,+,+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Horses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Goats,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Mules and Asses,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
American Bisonc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
+ Does not exceed 0.5 kt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Available),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Accounts for CH4 reductions due to capture and destruction of CH4 at facilities using anaerobic digesters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Includes both direct and indirect N2O emissions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c There are no American bison N2O emissions from managed systems; American bison are maintained entirely on pasture, range, and paddock. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: N2O emissions from manure deposited on pasture, range and paddock are included in the agricultural soils management category. Totals by gas may not sum due to independent rounding.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
