"Table 3-10:  CO2, CH4, and N2O Emissions from Fossil Fuel Combustion by Sector (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Use Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Transportation,1514.6,1469.2,1527.0,1559.7,1607.0,1635.3,1683.2,1700.3,1736.2,1801.1,1846.0,1814.0,1852.9,1859.9,1890.9,1899.9,1900.7,1899.3,1795.4,1722.4,1729.5,1702.2,1689.0,1696.8,1733.0,1742.2,1780.7,1802.0,1833.6,1838.6,1591.5,1772.9,1770.6
CO2,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803.0,1812.0,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669.0,1707.3,1718.4,1757.9,1780.3,1813.1,1816.6,1572.8,1753.5,1751.3
CH4,7.2,7.0,7.1,7.0,7.0,6.9,6.8,6.6,6.4,5.8,5.5,5.2,5.0,4.7,4.6,4.3,4.2,4.1,3.8,3.6,3.6,3.6,3.4,3.3,3.1,3.1,3.0,2.9,2.8,2.9,2.5,2.6,2.6
N2O,38.4,39.9,42.3,44.1,46.0,47.7,49.0,50.2,50.9,49.0,48.3,46.4,44.9,43.2,41.1,37,37.4,34.5,31.9,30.3,29.3,28.2,26.2,24.5,22.6,20.8,19.8,18.7,17.7,19.1,16.1,16.8,16.7
Electric Power,1838.7,1836.0,1849.5,1925.8,1950.5,1967.4,2041.0,2108.7,2198.4,2211.6,2319.4,2280.3,2296.5,2329.1,2361.6,2427.8,2371.9,2439.1,2387.1,2171.2,2286.5,2184.9,2048.1,2064.9,2064.0,1925.5,1833.5,1755.3,1776.5,1626.9,1458.5,1561.3,1554.5
CO2,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732.0,1753.4,1606.7,1439.6,1540.9,1531.7
CH4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.4,1.4,1.4,1.4,1.3
N2O,18.2,18.2,18.3,19.1,19.5,19.7,20.2,20.7,21.3,21.4,22.5,22.4,23.5,24.5,25.6,26.7,26.5,26.9,26.7,24.8,26.8,25.7,23.6,25.4,25.7,23.6,23.3,22.0,21.7,18.8,17.5,19,21.6
Industrial,881.3,871.4,894.0,896.1,895.9,912.6,931.9,927.1,910.6,868.6,892.2,871.2,862.4,856.8,882.1,852.2,873.0,863.1,829.2,755.6,795.3,797.5,798.1,830.1,825.1,797.1,792.4,784.4,814.4,813.7,765.6,784.1,804.7
CO2,876.5,866.7,889.1,891.2,890.8,907.5,926.7,921.8,905.6,863.6,887.2,866.6,858.0,852.4,877.4,847.6,868.4,858.6,825.0,751.9,791.1,793.4,793.9,825.8,820.8,793.0,788.3,780.4,810.5,809.8,762,780.5,801.1
CH4,2.1,2.0,2.1,2.1,2.2,2.2,2.2,2.3,2.2,2.1,2.1,2.0,1.9,1.9,2.0,1.9,2.0,1.9,1.8,1.6,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6
N2O,2.8,2.7,2.8,2.8,2.9,2.9,3.0,3.0,2.9,2.8,2.8,2.7,2.5,2.5,2.7,2.6,2.6,2.6,2.4,2.1,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2,2.1,2
Residential,345.4,354.8,361.3,372.6,363.3,359.3,389.9,370.4,336.4,355.9,377.0,367.9,366.0,385.3,374.3,364.2,326.4,346.3,353.4,341.7,340.6,332.3,287.5,335.6,353.2,323.4,298.3,298.9,344.9,349.1,319,322.3,339.1
CO2,338.6,347.7,354.0,366.1,357.0,353.1,383.5,365.0,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294.0,338.9,342.9,314.8,318,334.1
CH4,5.9,6.1,6.3,5.7,5.3,5.3,5.6,4.6,4.1,4.2,4.5,4.1,4.2,4.4,4.4,4.5,4.0,4.4,4.7,5.0,5.3,5.1,4.3,5.5,5.6,5.0,4.4,4.3,5.1,5.3,3.6,3.6,4.3
N2O,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.7,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.6,0.6,0.7
Commercial,229.8,234.2,229.6,224.6,226.2,229.3,239.2,239.4,221.5,222.2,238.1,229.9,230.5,241.7,239.5,228.6,213.2,224.6,229.0,229.2,225.8,226.1,201.7,225.8,234.1,246.5,233.5,234.1,248,253.5,230.9,239.2,260.5
CO2,228.3,232.7,228.0,223.0,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229.0,240.1,238.0,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7
CH4,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.1,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.0,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.3,1.3,1.4
N2O,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
U.S. Territoriesa,20.1,19.3,22.0,22.7,24.8,21.6,19.9,20.2,19.5,15.5,37.2,49.9,45.3,50.6,53.1,52.1,51.5,46.8,38.6,39.1,34.6,34.2,33.1,28.2,28.4,28.6,26.3,26.0,26,24.9,23.4,23.9,22.7
Total,4829.9,4784.9,4883.4,5001.5,5067.7,5125.5,5305.0,5366.1,5422.8,5474.9,5709.9,5613.2,5653.6,5723.3,5801.5,5824.8,5736.8,5819.2,5632.7,5259.2,5412.3,5277.1,5057.4,5181.4,5237.8,5063.4,4964.6,4900.6,5043.4,4906.6,4388.9,4703.7,4752
"a U.S. Territories are not apportioned by sector, and emissions shown in the table are total greenhouse gas emissions from all fuel combustion sources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
