Table 3-106:  Transmission Compressor Station National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Station Total Emissions,"1,096,527"," 1,096,527 "," 1,096,527 "," 1,056,332 "," 1,016,762 "," 977,818 "," 938,931 "," 925,523 "," 923,599 "," 901,943 "," 877,850 "," 800,514 "," 808,127 "," 764,850 "," 730,078 ","704,651"," 661,710 "," 647,498 "," 648,506 "," 637,418 "," 619,283 "," 584,610 "," 580,122 "," 581,758 "," 568,731 "," 567,164 "," 551,032 "," 564,914 ","581,117","585,617","580,273","585,666","588,497"
Station + Compressor Fugitive Emissions,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 116,480 "," 115,392 "," 115,776 "," 114,560 "," 113,664 "," 110,400 "," 113,536 ","118,592","120,704","120,256","125,440","128,128"
Reciprocating Compressor,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 365,950 "," 361,530 "," 355,550 "," 343,915 "," 348,920 "," 338,260 "," 342,810 ","347,685","342,485","333,385","325,130","322,725"
Centrifugal Compressor (wet seals),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 49,776 "," 52,292 "," 56,576 "," 55,828 "," 51,340 "," 48,076 "," 46,308 ","50,116","51,544","52,360","53,652","50,524"
Centrifugal Compressor (dry seals),NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 52,404 "," 50,908 "," 53,856 "," 54,428 "," 53,240 "," 54,296 "," 62,260 ","64,724","70,884","74,272","81,444","87,120"
Dehydrator vents,"1,991"," 1,991 "," 1,991 "," 1,969 "," 1,947 "," 1,925 "," 1,902 "," 1,931 "," 1,986 "," 2,001 "," 2,011 "," 1,896 "," 1,981 "," 1,943 "," 1,925 ","1,931"," 1,887 "," 1,925 "," 2,014 "," 2,071 "," 2,110 "," 2,094 "," 2,075 "," 2,081 "," 2,060 "," 2,043 "," 1,985 "," 2,041 ","2,132","2,170","2,162","2,255","2,304"
Flaring,305, 305 , 305 , 302 , 298 , 295 , 291 , 296 , 304 , 306 , 308 , 290 , 303 , 298 , 295 ,296, 289 , 295 , 308 , 317 , 323 , 321 , 318 , 319 , 315 , 313 , 368 , 443 ,606,432,522,364,492
Pneumatic Devices,"213,081"," 214,495 "," 212,748 "," 201,674 "," 190,843 "," 180,254 "," 169,908 "," 159,804 "," 149,942 "," 140,323 "," 130,947 "," 121,813 "," 112,921 "," 104,272 "," 95,866 ","87,701"," 79,780 "," 72,100 "," 64,663 "," 57,469 "," 50,517 "," 43,808 "," 29,102 "," 28,039 "," 27,024 "," 28,790 "," 23,531 "," 25,701 ","31,749","31,640","30,120","30,585","31,170"
High Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 28,533 "," 13,573 "," 12,591 "," 11,751 "," 14,271 "," 9,015 "," 9,446 ","9,781","9,797","9,119","8,951","8,350"
Intermittent Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE," 14,548 "," 14,673 "," 14,694 "," 14,478 "," 13,745 "," 13,822 "," 15,452 ","21,132","21,074","20,222","20,882","22,157"
Low Bleed,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE, 727 , 856 , 754 , 795 , 774 , 694 , 803 ,836,769,779,753,663
Station Venting,"145,241",NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,NE,"138,843"," 128,430 "," 138,792 "," 140,780 "," 147,768 "," 150,497 "," 150,256 "," 148,112 "," 148,317 "," 147,035 "," 145,464 "," 126,671 "," 122,937 ","127,165","136,920","136,332","143,132","146,659"
Total Emissions,"1,457,144"," 1,458,558 "," 1,456,811 "," 1,402,851 "," 1,351,472 "," 1,299,584 "," 1,248,159 "," 1,227,513 "," 1,219,498 "," 1,189,457 "," 1,155,622 "," 1,059,105 "," 1,065,312 "," 1,006,599 "," 963,550 ","933,422"," 872,095 "," 860,610 "," 856,272 "," 845,043 "," 822,730 "," 781,089 "," 759,729 "," 760,515 "," 745,165 "," 743,774 "," 703,586 "," 716,037 ","742,770","756,779","749,409","762,002","769,121"
Previous Estimate,"1,459,223"," 1,468,906 "," 1,456,939 "," 1,406,263 "," 1,358,089 "," 1,309,327 "," 1,261,606 "," 1,215,893 "," 1,169,914 "," 1,125,174 "," 1,079,965 "," 1,035,159 "," 993,839 "," 948,160 "," 908,738 ","871,649"," 825,089 "," 794,135 "," 751,903 "," 717,726 "," 681,425 "," 646,973 "," 649,581 "," 705,215 "," 756,904 "," 762,119 "," 751,983 "," 749,475 ","809,418","891,620","911,471","923,868",NA
NE (Not Estimated at individual source level due to lack of data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
