"Table 3-116:  CO2, CH4, and N2O Emissions from International Bunker Fuels (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Mode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,103.6,117.7,108,98,96.8,98.6,99.9,107.1,110.6,102.8,101.9,93.9,94.6,98.5,108.6,113.3,114.3,115.5,114.5,106.5,117.1,111.7,105.9,99.8,103.5,111,116.7,120.2,124.3,113.6,69.6,80.2,98.2
Aviation,38.2,46.5,46.9,47,48.5,50,51.1,54.6,54.2,57.7,62.1,56.5,54.7,55.3,56.3,60.2,60.4,61.6,56.2,52.9,61,64.9,64.6,65.7,69.7,72,74.1,77.8,83,78.3,39.8,50.8,66.6
Commercial,30,38.3,40.2,40.5,42.6,44.4,45.8,49.7,49.2,52.8,57.4,51.3,49.9,50.6,51.4,55.6,56.4,57.5,52.4,49.2,57.4,61.7,61.4,62.8,66.3,68.6,70.8,74.5,79.8,75.1,36.7,47.6,63.5
Military,8.2,8.2,6.7,6.5,5.9,5.7,5.4,4.9,5,4.8,4.8,5.2,4.8,4.7,4.9,4.6,4,4.1,3.8,3.6,3.6,3.2,3.2,2.9,3.4,3.4,3.3,3.3,3.2,3.2,3.1,3.2,3.1
Marine,65.4,71.2,61.1,50.9,48.3,48.6,48.7,52.5,56.4,45.2,39.8,37.4,39.9,43.2,52.3,53.1,53.9,53.9,58.2,53.6,56.1,46.9,41.3,34.1,33.8,39,42.6,42.4,41.3,35.4,29.9,29.4,31.6
CH4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Aviation,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Marine,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
N2O,0.8,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,0.9,0.5,0.6,0.8
Aviation,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.3,0.4,0.6
Marine,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
Total,104.6,118.8,109,98.8,97.7,99.5,100.7,108,111.6,103.7,102.8,94.7,95.4,99.4,109.6,114.3,115.3,116.5,115.5,107.5,118.1,112.7,106.8,100.7,104.4,112,117.7,121.2,125.3,114.6,70.3,80.9,99.1
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Includes aircraft cruise altitude emissions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
