"Table 3-117:  CO2, CH4, and N2O Emissions from International Bunker Fuels (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Mode,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,"103,634"," 117,740 "," 108,002 "," 97,965 "," 96,812 "," 98,609 "," 99,861 "," 107,063 "," 110,594 "," 102,834 "," 101,895 "," 93,890 "," 94,600 "," 98,484 "," 108,610 ","113,328"," 114,269 "," 115,463 "," 114,458 "," 106,511 "," 117,101 "," 111,746 "," 105,889 "," 99,840 "," 103,488 "," 110,980 "," 116,682 "," 120,192 ","124,279","113,632","69,638","80,180","98,241"
Aviation,"38,205"," 46,509 "," 46,909 "," 47,025 "," 48,465 "," 50,021 "," 51,141 "," 54,588 "," 54,184 "," 57,658 "," 62,129 "," 56,493 "," 54,726 "," 55,294 "," 56,342 ","60,221"," 60,366 "," 61,574 "," 56,226 "," 52,861 "," 61,043 "," 64,856 "," 64,590 "," 65,724 "," 69,679 "," 72,013 "," 74,128 "," 77,764 ","82,953","78,280","39,781","50,812","66,646"
Marine,"65,429"," 71,230 "," 61,094 "," 50,939 "," 48,347 "," 48,589 "," 48,721 "," 52,476 "," 56,410 "," 45,176 "," 39,766 "," 37,397 "," 39,874 "," 43,190 "," 52,268 ","53,107"," 53,902 "," 53,889 "," 58,232 "," 53,650 "," 56,058 "," 46,890 "," 41,298 "," 34,116 "," 33,809 "," 38,967 "," 42,554 "," 42,428 ","41,325","35,351","29,857","29,369","31,595"
CH4,7, 7 , 6 , 5 , 5 , 5 , 5 , 5 , 6 , 5 , 4 , 4 , 4 , 4 , 5 ,5, 5 , 5 , 6 , 5 , 6 , 5 , 4 , 3 , 3 , 4 , 4 , 4 ,4,4,3,3,3
Aviation,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Marine,7, 7 , 6 , 5 , 5 , 5 , 5 , 5 , 6 , 5 , 4 , 4 , 4 , 4 , 5 ,5, 5 , 5 , 6 , 5 , 6 , 5 , 4 , 3 , 3 , 4 , 4 , 4 ,4,4,3,3,3
N2O,3, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 ,3, 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 ,4,3,2,2,3
Aviation,1, 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,2, 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,3,2,1,2,2
Marine,2, 2 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,1,1,1,1,1
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Totals may not sum due to independent rounding. Includes aircraft cruise altitude emissions. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
