Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Type/Vehicle Type a,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Gasoline On-Road b,32.0,33.6,35.9,37.7,39.4,41.0,42.2,43.3,44.1,42.1,41.2,38.9,37.3,35.4,32.8,28.5,28.5,27.7,25.5,23.1,21.8,20.5,19.4,17.2,15.0,13.0,11.3,9.9,8.4,8.1,6.3,6.0,5.3
Passenger Cars,22.4,22.8,23.4,23.8,24.0,24.0,23.8,23.4,22.7,20.5,19.4,18.1,17.0,15.7,14.5,13.3,13.3,12.0,11.0,10.0,9.4,8.8,7.8,6.2,5.5,4.7,4.1,3.5,2.9,2.5,2.0,1.9,1.6
Light-Duty Trucks,8.7,10.0,11.4,12.9,14.3,15.8,17.1,18.6,19.9,20.1,20.3,19.3,18.7,18.0,16.9,14.0,14.0,14.5,13.5,12.0,11.5,11.0,10.9,10.4,9.0,7.8,6.9,6.0,5.2,5.4,4.2,3.9,3.5
Medium- and Heavy-Duty Trucks and Buses,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.3,1.5,1.5,1.5,1.5,1.5,1.6,1.4,1.2,1.2,1.2,1.0,1.0,0.8,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,
Motorcycles,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diesel On-Road b,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.8,1.0,1.1,1.2,1.3,1.6,1.8,2.1,2.3,2.5,2.8,3.2,3.0,3.3,3.5
Passenger Cars,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+
Light-Duty Trucks,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
Medium- and Heavy-Duty Trucks,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.9,0.9,1.0,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.7,2.5,2.7,2.9
Medium- and Heavy-Duty Buses,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3
