Table 3-16:  Carbon Intensity from Direct Fossil Fuel Combustion by Sector (MMT CO2 Eq./QBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Residential a,57.4,57.2,57.1,56.9,56.8,56.7,56.7,56.7,56.6,56.7,56.8,57.1,56.7,56.9,57.1,56.8,56.7,56.4,56.1,56.0,56.0,55.9,55.7,55.4,55.5,55.5,55.2,55.1,55.3,55.3,55.1,55.2,55.2
Commercial a ,59.7,59.3,58.8,58.3,58.3,57.9,57.8,57.6,57.3,57.2,57.5,57.7,57.3,57.6,57.9,57.8,57.5,57.3,57.0,57.2,57.1,56.9,56.4,56.0,55.7,57.1,56.7,56.6,56,56.2,56.3,56.2,56.5
Industrial a,64.8,64.5,64.3,64.2,64.1,63.6,63.4,63.3,63.6,63.6,63.4,64.1,63.7,64.0,64.1,66.8,64.8,64.4,63.9,63.5,63.2,62.8,62.4,62.1,61.7,61.4,61.0,60.7,65.4,65.1,68.5,66.9,65.2
Transportation a,71.1,71.2,71.4,71.2,71.0,71.0,71.2,71.1,71.3,71.2,71.8,71.4,71.5,72.1,71.7,56.5,71.8,72.0,71.4,71.5,71.4,71.4,71.3,71.1,71.1,71.1,71.1,71.2,57.6,57.4,66.2,59.4,59.4
Electric Power b,87.3,87.3,87.3,87.2,86.6,86.5,87.4,87.1,86.4,86.2,86.1,85.7,85.7,86.5,86.2,65.1,85.3,84.7,84.9,83.7,83.6,82.9,79.9,81.3,81.2,78.1,76.8,77.3,78.3,82.6,89.2,85.5,84.3
U.S. Territories c,73.1,73.0,73.3,73.3,73.2,73.0,73.2,73.2,73.3,73.3,72.7,72.8,73.0,73.4,73.5,28.3,73.7,73.6,73.4,73.4,73.4,73.1,72.3,71.5,71.2,71.5,71.0,71.0,54.3,57.1,61.7,59,63.2
All Sectors c,73.1,73.0,72.9,72.9,72.7,72.5,72.7,72.8,73.1,73.0,73.2,73.2,73.1,73.6,73.5,61.1,73.6,73.4,73.1,72.5,72.5,72.0,70.9,70.8,70.7,69.6,69.2,69.1,65.3,66.3,72.2,68.3,67.6
a Does not include electricity or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Does not include electricity produced using nuclear or renewable energy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Does not include nuclear or renewable energy consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Excludes non-energy fuel use emissions and consumption. Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
