Table 3-17:  Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Energy-Related Fossil Fuel Combustion by Fuel Type and Sector (MMT CO2 Eq. and Percent),,,,,
Fuel/Sector,2022 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,Lower,Upper,Lower,Upper
,,Bound,Bound,Bound,Bound
Coalb,898.8,868.6,983.9,-0.03,0.09
Residential ,NO,NO,NO,NO,NO
Commercial ,1.4,1.3,1.6,-0.05,0.15
Industrial ,43,41,49.9,-0.05,0.16
Transportation ,NO,NO,NO,NO,NO
Electric Power ,851.5,818.9,933.8,-0.04,0.1
U.S. Territories ,2.9,2.5,3.4,-0.12,0.19
Natural Gasb,1706.8,1687.3,1784.4,-0.01,0.05
Residential ,272,264.4,291.1,-0.03,0.07
Commercial ,192.3,186.9,205.8,-0.03,0.07
Industrial ,510.4,494.9,548,-0.03,0.07
Transportation ,70.2,68.2,75.1,-0.03,0.07
Electric Power ,659.3,640.1,693,-0.03,0.05
U.S. Territories ,2.7,2.4,3.2,-0.12,0.17
Petroleumb,2093.4,1966.4,2215.9,-0.06,0.06
Residential ,62.1,58.6,65.4,-0.06,0.05
Commercial ,65.1,61.5,68.5,-0.05,0.05
Industrial ,247.6,193.3,302,-0.22,0.22
Transportation ,1681.1,1573.2,1785.6,-0.06,0.06
Electric Power ,20.5,19.7,22,-0.04,0.07
U.S. Territories ,17,15.7,18.7,-0.07,0.1
Geothermal,0.4,0.2,1,-0.48,1.73
Electric Power,0.4,0.2,1,-0.48,1.73
Total (including Geothermal)b,4699.4,4603.1,4905.2,-0.02,0.04
NO (Not Occurring),,,,,
a Range of emission estimates predicted by Monte Carlo stochastic simulation for a 95 percent confidence interval.,,,,,
"b The low and high estimates for total emissions were calculated separately through simulations and, hence, the low and high emission estimates for the sub-source categories do not sum to total emissions.",,,,,
Note: Totals may not sum due to independent rounding.,,,,,
