"Table 3-2:  CO2, CH4, and N2O Emissions from Energy (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,4910861,4865308,4964927,5068759,5143077,5198615,5372981,5440480,5506370,5571521,5796970,5697854,5741836,5805814,5903641,5923075,5836549,5910219,5722676,5333387,5486857,5355082,5148033,5289998,5341521,5186494,5073562,5023362,5190611,5059075,4520249,4840748,4875487
Fossil Fuel Combustion,4752232,4705926,4801422,4917716,4981723,5037780,5215157,5275769,5332286,5386768,5620872,5527409,5568469,5638724,5717675,5744134,5656720,5741394,5557830,5188319,5339624,5206791,4992489,5114835,5172908,5002937,4906314,4845066,4988198,4852631,4341710,4654265,4699403
Non-Energy Use of Fuels,99104,102588,105217,93689,102437,103338,101427,108964,121618,133098,123413,117949,120704,114290,132240,124988,123862,112555,107246,89657,90107,88282,91214,104550,92155,105692,98711,107079,118382,106474,97757,111624,102808
Natural Gas Systems,32427,31552,31451,31156,31120,29091,27404,27136,25002,25529,25974,25733,26093,25989,26415,26312,27077,27390,28033,26371,26479,26806,26305,28171,29103,29397,29911,31467,32768,38525,36719,35780,36470
Petroleum Systems,9585,9638,9415,9340,9368,9712,9976,10252,10058,9441,9512,9490,9498,9651,9911,10210,10440,10603,11559,11774,13966,16519,20767,24463,29278,30786,21369,23428,34777,45498,28937,24140,21967
Incineration of Waste,12900,11171,12990,12970,14039,14333,14514,13733,12790,12316,13026,12995,13030,13173,13248,13254,14343,14242,13909,13459,12824,12741,13393,14135,14058,14167,14356,13161,13339,12948,12921,12476,12357
Coal Mining,4606,4425,4425,3881,4382,4354,4497,4619,4608,4362,4165,4273,4035,3980,4144,4169,4100,4026,4092,3799,3850,3935,3858,3836,4012,3507,2894,3154,3139,2992,2197,2455,2474
Abandoned Oil and Gas Wells,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8
Biomass-Wood a,215186,215268,225041,219290,225012,229091,235726,228481,210392,213337,218088,193491,192830,193833,205086,206901,202855,202317,199932,188632,215550,214922,208300,227340,233762,224730,215964,211964,220003,217690,190554,192509,195338
International Bunker Fuels b,103634,117740,108002,97965,96812,98609,99861,107063,110594,102834,101895,93890,94600,98484,108610,113328,114269,115463,114458,106511,117101,111746,105889,99840,103488,110980,116682,120192,124279,113632,69638,80180,98241
