Table 3-23:  Adjusted Consumption of Fossil Fuels for Non-Energy Uses (TBtu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Industry,4110.2,4123.4,4245.9,4154.4,4452.3,4458.8,4484.2,4727.3,5008.7,5270.9,5016.0,4825.3,4896.2,4683.3,5094.3,4961.2,5004.9,4840.2,4427.5,4134.4,4433.9,4410.3,4409.6,4651.4,4494.8,4808.8,4800.1,4986.5,5261,5143.8,5096.7,5343.1,5301.8
Industrial Coking Coal, NO , NO , NO ,1.0,8.9,37.8,24.1, NO ,10.9,40.1,53.5,24.8,40.3,51.9,167.8,80.4,62.9,2.3,29.2,6.4,64.8,60.8,132.5,119.9,49.1,122.4,89.6,113.0,124.7,112.8,79.9,77.9,46.7
Industrial Other Coal ,7.6,7.8,8.8,9.3,10.1,10.5,10.6,10.4,9.7,10.3,11.5,10.5,11.3,11.1,11.1,11,11.0,11.0,11.0,11.0,9.6,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5
Natural Gas to Chemical Plants,280.6,274.2,293.4,303.5,327.4,346.5,363.2,377.3,407.3,395.5,384.2,387.7,365.8,317.1,274.4,260.7,228.4,240.9,264.8,274.2,296.9,299.5,300.5,310.0,323.8,419.4,497.0,587.9,675.1,663.4,660.5,663.7,654.2
Asphalt & Road Oil,1170.2,1076.5,1102.2,1149.0,1172.9,1178.2,1175.9,1223.6,1262.6,1324.4,1275.7,1256.9,1240.0,1219.5,1303.8,1323.2,1261.2,1197.0,1012.0,873.1,877.8,859.5,826.7,783.3,792.6,831.7,853.4,849.2,792.8,843.9,832.3,898.1,916.1
HGLa,1135.0,1249.5,1299.1,1223.9,1429.2,1460.4,1512.2,1555.9,1607.6,1739.4,1691.8,1578.9,1661.7,1524.9,1557.3,1554.3,1653.8,1612.1,1453.2,1533.1,1786.9,1844.4,1963.6,2137.5,2044.7,2181.7,2147.0,2172.3,2427.6,2372.8,2469.5,2639,2758.8
Lubricants ,186.3,166.7,170.0,173.1,180.9,177.8,172.5,182.3,190.8,192.8,189.9,174.0,171.9,159.0,161.0,160.2,156.1,161.2,149.6,134.5,135.9,127.4,118.3,125.1,130.7,142.1,135.1,124.9,122,118.3,111.1,113.5,119.5
Natural Gasoline b, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
Naphtha (<401 °F),325.4,278.2,353.6,324.3,375.0,353.8,454.8,506.4,563.4,485.0,592.7,489.7,564.7,573.9,688.1,679.2,618.4,542.0,467.1,450.5,474.4,469.7,433.1,499.7,435.6,418.5,398.5,412.9,420.6,367.7,327.8,329.3,244.2
Other Oil (>401 °F),660.4,739.9,669.6,662.7,638.5,597.3,521.0,639.0,615.8,636.3,532.7,506.4,436.2,481.4,526.8,499.2,573.7,668.5,598.9,392.3,433.1,368.4,267.9,209.5,236.4,217.1,204.8,242.8,218.8,211.1,194.7,195.3,111.1
