"Table 3-24:  2022 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",,,,,,,
,Adjusted Non-Energy Use a,Carbon Content Coefficient,Potential Carbon,Storage Factor,Carbon Stored,Carbon Emissions,Carbon Emissions
Sector/Fuel Type,(TBtu),(MMT C/QBtu),(MMT C),(MMT C),(MMT C),(MMT C),(MMT CO2 Eq.)
Industry,"5,301.80",NA,90,NA,64.3,25.7,94.3
Industrial Coking Coal,46.7,25.61,1.2,0.1,0.1,1.1,3.9
Industrial Other Coal,9.5,26.1,0.2,0.67,0.2,0.1,0.3
Natural Gas to Chemical Plants,654.2,14.47,9.4,0.67,6.3,3.1,11.4
Asphalt & Road Oil,916.1,20.55,18.8,1,18.7,0.1,0.3
HGL b,"2,758.80",16.82,46.4,0.67,31.1,15.3,56.2
Lubricants,119.5,20.2,2.4,0.09,0.2,2.2,8
Natural Gasoline c,0,18.24,0,0.67,0,0,0
Naphtha (<401° F),244.2,18.55,4.5,0.67,3,1.5,5.5
Other Oil (>401° F),111.1,20.17,2.2,0.67,1.5,0.7,2.7
Still Gas,157.1,17.51,2.8,0.67,1.8,0.9,3.3
Petroleum Coke,0,27.85,0,0.3,0,0,0
Special Naphtha,82.4,19.74,1.6,0.67,1.1,0.5,2
Distillate Fuel Oil,5.8,20.22,0.1,0.5,0.1,0.1,0.2
Waxes,13,19.8,0.3,0.58,0.1,0.1,0.4
Miscellaneous Products,183.4,0,0,0,0,0,0
Transportation,125.4,NA,2.5,NA,0.2,2.3,8.4
Lubricants,125.4,20.2,2.5,0.09,0.2,2.3,8.4
U.S. Territories,1,NA,+,NA,+,+,0.1
Lubricants,1,20.2,+,0.09,+,+,0.1
Other Petroleum (Misc. Prod.),+,20,+,0.1,+,+,+
Total,"5,428.20",,92.6,,64.6,28,102.8
"+ Does not exceed 0.05 TBtu, MMT C, or MMT CO2 Eq.",,,,,,,
NA (Not Applicable),,,,,,,
NO (Not Occurring),,,,,,,
"a To avoid double counting, net exports have been deducted.",,,,,,,
b Excludes natural gasoline.,,,,,,,
c Formerly referred to as “pentanes plus.” this source has been adjusted and is reported separately from HGL to align with historic data and revised EIA terminology.,,,,,,,
Note: Totals may not sum due to independent rounding. ,,,,,,,
