Table 3-25: Approach 2 Quantitative Uncertainty Estimates for CO2 Emissions from Non-Energy Uses of Fossil Fuels (MMT CO2 Eq. and Percent),,,,,,
Source,Gas,2022 Emission Estimate,Uncertainty Range Relative to Emission Estimatea,,,
,,(MMT CO2 Eq.),(MMT CO2 Eq.),,(%),
,,,Lower,Upper,Lower,Upper
,,,Bound,Bound,Bound,Bound
Feedstocks,CO2,81.4,51.7,146.6,-37%,80%
Asphalt,CO2,0.3,0.1,0.7,-58%,119%
Lubricants,CO2,16.6,13.7,19.2,-17%,16%
Waxes,CO2,0.4,0.3,0.7,-23%,77%
Other,CO2,4.2,0.8,4.9,-81%,17%
Total,CO2,102.8,71,166.6,-31%,62%
a Range of emission estimates predicted by Monte Carlo stochastic simulation for a 95 percent confidence interval.,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,
