Table 3-52:  Recalculations of CH4 in Petroleum Systems (MMT CO2 Eq.),,,
Segment/Source,"Previous Estimate Year 2021, 2023 Inventory","Current Estimate Year 2021, 2024 Inventory","Current Estimate Year 2022, 2024 Inventory"
Exploration,0.2,0.2,0.1
HF Completions,0.1,0.2,0.1
Production ,48.9,47.5,38.6
Pneumatic Controllers,28.4,28.1,19.4
Chemical Injection Pumps,3.2,2.4,2.2
Produced Water,2.5,2.6,2.7
Offshore Production from GOM Federal Waters (vented and leaks),4.7,4.4,4.3
HF Workovers,0.1,+,+
Gas Engines,2.5,2.4,2.5
Associated Gas Flaring,0.8,1,0.8
Transportation,0.2,0.2,0.2
Refining,0.8,0.7,0.7
Petroleum Systems Total,50.2,48.6,39.6
+ Does not exceed 0.05 MMT CO2 Eq.,,,
Note: Totals may not sum due to independent rounding.,,,
