Table 3-56:  HF Workovers National CO2 Emissions (Metric Tons CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
HF Workovers – Non-REC with Venting,431,431,423,432,414,407,415,421,405,388,395,393,393,392,400,408,416,416,399,352,315,276,236,191,144,87,32,0,5,63,+,1,6
HF Workovers – Non-REC with Flaring,22654,22541,22208,23341,22063,21677,21873,22098,21423,20644,20946,20885,20725,20641,20846,21076,21405,21497,20731,18852,17407,16074,14708,13152,11460,9032,6509,8606,2544,2093,1947,2532,NO
HF Workovers - REC with Venting,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1,1,2,3,4,5,7,7,8,38,17,14,4,+,3
HF Workovers - REC with Flaring,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2717,5477,8426,11685,15337,19304,23489,26376,28686,71685,51135,18285,5987,2768,6095
Total Emissions,23085,22973,22631,23773,22477,22084,22288,22519,21828,21033,21341,21279,21119,21034,21247,21484,21821,21913,23849,24682,26151,28039,30286,32652,35100,35502,35235,80328,53701,20456,7939,5301,6105
Previous Estimate,31219,32564,32227,33133,32675,32550,33807,34131,33025,30801,31640,31814,32196,32605,33728,34778,36068,35720,50865,61605,77730,97378,123820,152312,187554,210592,224830,220239,89049,97515,97766,205160,NA
+ Does not exceed 0.5 MT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
