Table 3-59:  Equipment Leaks National CO2 Emissions (Metric Tons CO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oil Wellheads (heavy crude),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1
Oil Wellheads (light crude),3159,3155,3108,3219,3064,3007,3036,3058,2937,2821,2855,2833,2821,2803,2830,2857,2880,2862,3022,3009,3084,3188,3323,3448,3606,3540,3433,3378,3330,3416,3280,3272,3195
Separators (heavy crude),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,+,+,+,+,+,1,1,+,+,+
Separators (light crude),613,612,603,624,624,641,675,707,707,708,744,767,786,806,835,868,901,930,1002,1026,1075,1140,1227,1318,1415,1614,1661,1627,2280,2114,1601,1443,1411
Heater/Treaters (light crude),508,507,500,520,495,487,492,497,479,461,467,465,464,462,467,474,481,482,511,512,530,553,588,624,665,1546,693,732,786,1028,846,951,905
Headers (heavy crude),+,+,+,+,+,+,+,1,1,1,1,1,1,1,1,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
Headers (light crude),185,185,182,189,210,234,265,295,310,325,348,371,390,409,434,458,474,498,536,561,585,635,669,711,753,1197,1436,685,712,843,432,430,485
Total Emissions,4468,4462,4396,4555,4396,4372,4472,4559,4437,4318,4417,4439,4464,4483,4569,4660,4739,4776,5075,5111,5278,5519,5811,6103,6441,7900,7225,6425,7111,7403,6161,6098,5997
Previous Estimate,4453,4480,4405,4496,4409,4424,4498,4568,4495,4396,4465,4484,4513,4535,4607,4681,4754,4785,4980,5010,5123,5263,5467,5649,5889,5781,5541,5459,5396,5351,5159,5159,NA
+ Does not exceed 0.05 MT CO2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
