Table 3-80:  Recalculations of CO2 in Natural Gas Systems (MMT CO2),,,
Segment and Emission Sources with Changes of Greater than 0.05 MMT CO2 due to Recalculations,"Previous Estimate Year 2021, 2023 Inventory","Current Estimate Year 2021, 2024 Inventory","Current Estimate Year 2022, 2024 Inventory"
Exploration,+,+,+
Gas Well Completions,+,+,+
Production,9.1,9.3,8.6
Gas Well Workovers,+,+,+
Pneumatic Controllers,0.1,+,+
Well Pad Equipment Leaks,+,0.1,0.1
Chemical Injection Pumps,+,+,+
Misc. Onshore Production Flaring,1.0,1.1,0.7
Condensate Tanks,0.9,1.1,0.6
G&B Station - AGRU,2.3,2.2,2.0
Processing,26.1,25.5,26.7
Flares,7.4,6.9,8.5
Transmission and Storage,0.9,0.9,1.2
Transmission Compressor Station Leaks and Venting,0.1,0.1,0.1
Storage Wells,+,+,+
Distribution,+,+,+
Post-Meter,+,+,+
Total,36.2,35.8,36.5
+ Does not exceed 0.05 MMT CO2.,,,
Note: Totals may not sum due to independent rounding. ,,,
