Table 3-81:  Recalculations of CH4 in Natural Gas Systems (MMT CO2 Eq.),,,
Segment and Emission Sources with Changes of Greater than 0.05 MMT CO2 due to Recalculations,"Previous Estimate Year 2021, 2023 Inventory","Current Estimate Year 2021, 2024 Inventory ","Current Estimate Year 2022, 2024 Inventory "
Exploration,0.2,0.1,0.2
Gas Well Completions,0.2,0.1,0.2
Production,94.1,92.2,89.7
Gas Well Workovers,0.2,0.04,0.05
Well Pad Equipment Leaks,9.6,9.4,10.8
Pneumatic Controllers,21.3,20.9,18.0
Condensate Tanks,1.2,1.2,1.1
Liquids Unloading,3.4,2.8,2.4
Gas Engines,5.5,5.3,5.3
G&B Stations – Station Blowdowns,1.2,1.0,0.9
G&B Stations – Pneumatic Controllers,0.7,0.6,0.5
G&B Station – Yard Piping,2.6,2.7,2.8
Processing,14.3,14.2,15.1
Flares,0.8,0.8,0.9
Transmission and Storage,44.5,39.8,39.6
Transmission Compressor Station Leaks and Venting,25.9,21.3,21.5
Storage Wells,0.3,0.3,0.3
Pipeline Venting,4.8,4.6,3.7
Distribution,15.3,15.3,15.2
Post-Meter,13.0,13.0,13.4
Total,181.4,174.6,173.1
Note: Totals may not sum due to independent rounding. ,,,
