Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Fuel Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Electric Power,18.2,18.2,18.3,19.1,19.5,19.7,20.2,20.7,21.3,21.4,22.5,22.4,23.5,24.5,25.6,26.7,26.5,26.9,26.7,24.8,26.8,25.7,23.6,25.4,25.7,23.6,23.3,22.0,21.7,18.8,17.5,19.0,21.6
Coal,17.9,17.8,18.0,18.7,19.1,19.3,19.8,20.3,20.8,20.7,21.8,21.5,22.2,23.2,24.0,24.9,24.6,24.8,24.6,22.6,24.4,23.2,20.5,22.7,22.9,20.3,19.9,18.8,18.1,14.8,13.5,15.1,18.2
Fuel Oil,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Natural Gas,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,1.2,1.3,1.5,1.7,1.9,2.1,2.1,2.2,2.4,2.4,3.0,2.7,2.8,3.3,3.4,3.2,3.6,3.9,4.0,3.9,3.4
Wood,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ 
Industrial,2.8,2.7,2.8,2.8,2.9,2.9,3.0,3.0,2.9,2.8,2.8,2.7,2.5,2.5,2.7,2.6,2.6,2.6,2.4,2.1,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.2,2.2,2.2,2.0,2.1,2.0
Coal,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Fuel Oil,0.5,0.4,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Natural Gas,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Wood,1.5,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.6,1.6,1.6,1.5,1.4,1.4,1.5,1.5,1.5,1.4,1.3,1.2,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.3
