Table 3-95:  Storage Tanks National CH4 Emissions (Metric Tons CH4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Large Tanks w/Flares,520, 510 , 488 , 458 , 437 , 434 , 423 , 405 , 387 , 351 , 348 , 342 , 336 , 336 , 336 ,337, 346 , 362 , 389 , 387 , 413 , 491 , 608 , 733 , 853 , 911 ," 1,155 "," 1,015 ","1,284",819,765,715,467
Large Tanks w/VRU,NO, 3 , 5 , 8 , 10 , 12 , 13 , 15 , 16 , 17 , 19 , 20 , 22 , 24 , 26 ,27, 30 , 33 , 39 , 42 , 49 , 68 , 87 , 104 , 122 , 121 , 340 , 201 ,141,464,743,597,94
Large Tanks w/o Control,"16,743"," 16,346 "," 15,206 "," 13,932 "," 13,062 "," 12,092 "," 11,516 "," 11,049 "," 10,130 "," 8,826 "," 8,452 "," 8,089 "," 7,706 "," 7,464 "," 7,160 ","6,828"," 6,676 "," 6,577 "," 6,838 "," 6,318 "," 6,546 "," 7,642 "," 8,719 "," 9,675 "," 10,124 "," 8,718 "," 7,778 "," 6,528 ","15,179","3,149","5,323","4,205","3,319"
Small Tanks w/Flares,NO, 6 , 11 , 14 , 18 , 22 , 25 , 28 , 29 , 30 , 34 , 37 , 40 , 43 , 46 ,51, 56 , 64 , 71 , 75 , 84 , 95 , 109 , 126 , 150 , 169 , 226 , 246 ,235,207,200,161,166
Small Tanks w/o Flares,"92,334"," 85,981 "," 79,713 "," 72,578 "," 67,448 "," 63,079 "," 58,101 "," 55,209 "," 51,424 "," 44,890 "," 42,247 "," 38,746 "," 35,317 "," 33,716 "," 32,189 ","31,003"," 30,991 "," 31,452 "," 33,188 "," 31,536 "," 30,026 "," 30,955 "," 33,038 "," 34,051 "," 36,450 "," 35,256 "," 41,373 "," 40,028 ","43,050","61,331","47,423","35,460","33,455"
Malfunctioning Separator Dump Valves,7, 7 , 6 , 6 , 6 , 6 , 6 , 5 , 5 , 5 , 5 , 5 , 4 , 4 , 4 ,4, 4 , 4 , 4 , 4 , 5 , 6 , 8 , 11 , 14 , 15 , 72 , 647 ,40,79,255,212,67
Total Emissions,"109,605"," 102,853 "," 95,429 "," 86,997 "," 80,981 "," 75,644 "," 70,085 "," 66,712 "," 61,992 "," 54,119 "," 51,104 "," 47,240 "," 43,425 "," 41,587 "," 39,761 ","38,250"," 38,103 "," 38,493 "," 40,529 "," 38,362 "," 37,122 "," 39,257 "," 42,568 "," 44,699 "," 47,713 "," 45,190 "," 50,944 "," 48,665 ","59,929","66,049","54,708","41,351","37,567"
Previous Estimate,"106,429"," 100,435 "," 93,018 "," 85,517 "," 80,269 "," 74,961 "," 69,551 "," 66,269 "," 61,672 "," 53,835 "," 50,896 "," 47,094 "," 43,532 "," 41,548 "," 39,878 ","38,461"," 38,846 "," 38,456 "," 40,470 "," 38,325 "," 37,174 "," 39,331 "," 42,884 "," 45,419 "," 47,845 "," 45,343 "," 51,026 "," 48,892 ","60,556","67,595","53,613","44,217",NA
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Applicable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
