Table 2-10:  U.S. Greenhouse Gas Emissions Allocated to Economic Sectors (MMT CO2 Eq. and Percent of Total in 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sector/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent of Total Emissionsa
Transportation,1521.4,1474.8,1533.8,1570.2,1624.5,1659.1,1714.6,1740.5,1782.7,1853.6,1903.7,1875.4,1916.2,1923.7,1956.2,1965.9,1966.3,1967.2,1863.4,1789.0,1795.1,1762.4,1743.5,1746.8,1781.0,1789.4,1824.5,1841.9,1871.6,1874.6,1625.3,1805.5,1801.5,28.4%
CO2 from Fossil Fuel Combustion,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803.0,1812.0,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669.0,1707.3,1718.4,1757.9,1780.3,1813.1,1816.6,1572.8,1753.5,1751.3,27.6%
Substitution of Ozone Depleting Substances,0.0,0.0,1.1,4.6,11.3,17.8,25.8,34.1,39.8,45.7,51.1,56.4,58.7,60.3,62.1,63.1,64.1,64.9,65.5,64.8,62.1,57.0,52.3,47.3,44.7,42.6,39.9,37.0,35.5,34.0,32.5,31.2,29.6,0.5%
Mobile Combustionb,40.6,41.9,44.3,46.0,47.8,49.3,50.4,51.3,51.8,49.3,48.3,45.5,43.6,41.3,38.6,34.1,33.2,31.3,28.8,27.2,26.0,25.0,22.8,20.8,18.9,17.5,16.3,15.0,13.7,15.1,12.2,12.7,12.2,0.2%
Non-Energy Use of Fuels,11.8,10.6,10.8,11.0,11.5,11.3,11.0,11.6,12.1,12.2,12.1,11.1,10.9,10.1,10.2,10.2,9.9,10.2,9.5,8.5,10.4,10.0,9.1,9.6,10.0,11.0,10.4,9.6,9.2,8.8,7.8,8.0,8.4,0.1%
Electric Power Industry,1880.2,1874.4,1889.6,1965.0,1989.6,2006.0,2078.4,2143.8,2230.1,2243.5,2350.1,2310.8,2326.5,2358.0,2391.1,2457.4,2402.4,2468.3,2415.2,2198.7,2313.1,2210.2,2072.7,2091.0,2091.0,1951.7,1859.3,1779.4,1799.2,1650.8,1482.2,1584.4,1577.5,24.9%
CO2 from Fossil Fuel Combustion,1820.0,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732.0,1753.4,1606.7,1439.6,1540.9,1531.7,24.1%
Stationary Combustionb,18.7,18.7,18.8,19.6,20.0,20.2,20.7,21.2,21.9,22.0,23.2,23.1,24.3,25.4,26.5,27.7,27.5,28.0,27.7,25.8,27.9,26.8,24.8,26.6,26.9,24.9,24.6,23.2,23.1,20.2,18.9,20.4,22.9,0.4%
Incineration of Waste,13.3,11.5,13.4,13.3,14.4,14.7,14.9,14.1,13.1,12.6,13.4,13.3,13.4,13.5,13.6,13.6,14.7,14.6,14.3,13.8,13.2,13.1,13.8,14.5,14.4,14.5,14.7,13.5,13.7,13.3,13.3,12.8,12.7,0.2%
Other Process Uses of Carbonates,3.6,3.2,3.2,3.0,3.2,4.1,4.4,4.3,4.4,4.8,3.3,3.4,3.6,2.9,3.8,4.2,4.8,4.4,3.7,4.7,5.6,5.2,4.7,5.7,6.6,6.3,5.7,5.2,4.0,4.5,4.5,4.3,5.2,0.1%
Electrical Equipment,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14.0,13.7,13.0,12.5,12.2,11.9,11.0,10.2,10.2,9.0,7.8,7.1,6.1,5.9,6.0,5.3,5.4,5.3,5.0,6.1,5.9,6.0,5.1,0.1%
