Table 2-11:  Electric Power-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Fuel Type or Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,1836.4,1831.8,1846.9,1922.2,1947.7,1965.6,2039.2,2105.5,2193.7,2206.7,2312.5,2273.6,2288.9,2319.7,2352.2,2417.5,2363.5,2429.8,2377,2163.5,2277.1,2176,2041.4,2058.1,2057.8,1921.2,1828.9,1750.4,1770.7,1624.2,1457,1557.7,1549.2
Fossil Fuel Combustion,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732,1753.4,1606.7,1439.6,1540.9,1531.7
Coal,1546.5,1547.2,1568.5,1631.6,1637.9,1659.9,1751.5,1796,1827.1,1835.4,1926.4,1868.8,1888.9,1930,1942,1982.8,1952.7,1986.2,1958.4,1740.2,1827.2,1722.4,1511.7,1571.3,1568.6,1351.4,1242,1207.1,1152.9,973.5,788.2,910.1,851.5
Natural Gas,175.4,179,186.1,187.6,210.9,228.2,204.9,218.8,247.7,259.9,280.8,289.4,306,278.1,296.8,318.9,338,371.5,362.1,372.5,399.5,409.4,492.8,444.2,442.9,525.2,545,505.6,577.9,616.6,634.8,612.8,659.3
Petroleum,97.5,90.7,75.5,86.4,81.2,58.7,63.4,72.2,101.3,93.8,88.5,98.6,76.9,95.1,95.8,98,53.3,53,38.4,32.2,31.4,25.8,18.3,22.4,25.3,23.7,21.5,18.9,22.2,16.2,16.2,17.7,20.5
Geothermal,0.5,0.5,0.5,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Incineration of Waste,12.9,11.2,13,13,14,14.3,14.5,13.7,12.8,12.3,13,13,13,13.2,13.2,13.3,14.3,14.2,13.9,13.5,12.8,12.7,13.4,14.1,14.1,14.2,14.4,13.2,13.3,12.9,12.9,12.5,12.4
Other Process Uses of Carbonates,3.6,3.2,3.2,3,3.2,4.1,4.4,4.3,4.4,4.8,3.3,3.4,3.6,2.9,3.8,4.2,4.8,4.4,3.7,4.7,5.6,5.2,4.7,5.7,6.6,6.3,5.7,5.2,4,4.5,4.5,4.3,5.2
CH4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.4,1.4,1.4,1.4,1.3
Stationary Sourcesa,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.4,1.4,1.4,1.4,1.3
Incineration of Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N2O,18.6,18.5,18.7,19.5,19.9,20.1,20.6,21.1,21.6,21.7,22.9,22.7,23.8,24.9,25.9,27.1,26.9,27.3,27,25.1,27.1,26,23.9,25.8,26.1,24,23.7,22.4,22.1,19.1,17.9,19.4,21.9
Stationary Sourcesa,18.2,18.2,18.3,19.1,19.5,19.7,20.2,20.7,21.3,21.4,22.5,22.4,23.5,24.5,25.6,26.7,26.5,26.9,26.7,24.8,26.8,25.7,23.6,25.4,25.7,23.6,23.3,22,21.7,18.8,17.5,19,21.6
Incineration of Waste,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3
SF6,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6,5.3,5.4,5.3,5,6.1,5.9,6,5.1
Electrical Equipment,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14,13.7,13,12.5,12.2,11.8,11,10.2,10.2,9,7.8,7.1,6.1,5.9,6,5.3,5.4,5.3,5,6.1,5.9,6,5.1
CF4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrical Equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,1880.2,1874.4,1889.6,1965,1989.6,2006,2078.4,2143.8,2230.1,2243.5,2350.1,2310.8,2326.5,2358,2391.1,2457.4,2402.4,2468.3,2415.2,2198.7,2313.1,2210.2,2072.7,2091,2091,1951.7,1859.3,1779.4,1799.2,1650.8,1482.2,1584.4,1577.5
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Includes only stationary combustion emissions related to the generation of electricity.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
