Table 2-12:  U.S. Greenhouse Gas Emissions by Economic Sector and Gas with Electricity-Related Emissions Distributed (MMT CO2 Eq.) and Percent of Total in 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions by Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percenta
Industry,2397.3,2364.4,2415.6,2395,2427,2440.5,2479.3,2498.3,2504.7,2453,2465.2,2343.9,2310.2,2314.2,2360.7,2302.9,2315,2298,2243.8,1991.9,2104.5,2086.9,2037.4,2101.7,2091.2,2029.1,1949.1,1957.8,2017.1,1974.8,1823.5,1877.8,1872.9,29.50%
Direct Emissions,1723.3,1702.9,1729.3,1701,1719.7,1741.8,1762.1,1765.4,1757.8,1703.9,1699.1,1631.4,1613.8,1593.6,1639.8,1587.3,1624.5,1611.6,1571.7,1415.5,1488.6,1488.4,1473.2,1533.8,1526.9,1506.1,1456.2,1478.4,1541.9,1531.8,1435.9,1455.8,1452.5,22.90%
CO2,1173.8,1157.7,1187.4,1174.1,1190.2,1211.9,1228.2,1234.3,1225.4,1191.2,1204.3,1160.5,1149.7,1133.9,1180.1,1136.4,1159.1,1142.4,1097.5,966.7,1034.4,1043.3,1047.6,1100.3,1092.4,1076.6,1049.4,1056,1110.7,1118.3,1036.9,1071.1,1080.8,17.00%
CH4,413.3,415.9,410.4,396.2,400.2,392.4,392.9,394.5,389.5,378.9,380.7,381.1,373.1,373.5,377.4,371.2,385.1,382.2,400.8,387.8,385.4,370.2,357.5,366.1,365.7,360.3,336.9,349.4,352.2,337.7,323.3,311.3,299.8,4.70%
N2O,35.7,35.2,33.8,35.3,35.9,39.3,39.7,34,29.9,29,29.3,26.5,27.4,27.4,26.3,29.8,31.7,34.3,25.4,23.6,27.1,31.9,26.9,26.1,27.5,26.6,27.8,27.3,30.3,26,27.6,26.8,23.6,0.40%
"HFCs, PFCs, SF6 and NF3",100.6,94.1,97.8,95.4,93.4,98.2,101.4,102.7,113,104.9,84.7,63.3,63.6,58.8,56,49.8,48.5,52.7,48.1,37.5,41.6,43,41.2,41.3,41.3,42.6,42.1,45.7,48.6,49.8,48.1,46.5,48.3,0.80%
Electricity-Related,674,661.5,686.3,694,707.4,698.8,717.2,732.9,747,749.1,766.1,712.6,696.4,720.6,720.9,715.6,690.5,686.4,672.1,576.4,615.9,598.5,564.2,567.8,564.3,523,492.8,479.4,475.3,443,387.6,422,420.3,6.60%
CO2,658.3,646.5,670.8,678.9,692.5,684.7,703.6,719.9,734.8,736.8,753.9,701.1,685.1,708.9,709.1,704,679.3,675.6,661.5,567.2,606.3,589.3,555.7,558.9,555.3,514.8,484.8,471.6,467.7,435.9,381,414.9,412.8,6.50%
CH4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,+%
N2O,6.7,6.5,6.8,6.9,7.1,7,7.1,7.2,7.2,7.2,7.5,7,7.1,7.6,7.8,7.9,7.7,7.6,7.5,6.6,7.2,7.1,6.5,7,7,6.4,6.3,6,5.8,5.1,4.7,5.2,5.8,0.10%
