Table 2-13:  Transportation-Related Greenhouse Gas Emissions (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Vehicle Type,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Passenger Cars,648.4,623.7,628.5,623.8,619.2,614.1,614.4,608.0,608.5,607.9,602.3,595.1,598.2,596.7,583.0,564.4,544.9,536.0,508.1,504.8,493.7,458.2,401.3,405.2,415.9,405.4,406.2,392.7,398.7,395.5,341.7,374.2,369.5
CO2,622.2,597.4,600.5,593.4,585.2,576.8,573.5,563.4,562.4,561.9,555.3,547.1,550.9,550.8,538.2,521.1,503.0,495.4,468.7,467.4,459.1,427.9,375.8,383.5,396.2,387.6,390.3,379.0,386.5,384.2,331.9,365.0,361.0
CH4,3.8,3.5,3.4,3.3,3.2,3.1,2.9,2.8,2.6,2.3,2.1,1.9,1.7,1.5,1.4,1.2,1.1,1.0,0.9,0.9,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2
N2O,22.5,22.8,23.5,23.8,24.0,24.0,23.8,23.4,22.7,20.5,19.4,18.1,17.0,15.7,14.5,13.3,12.0,11.0,10.0,9.4,8.8,7.9,6.2,5.5,4.8,4.1,3.6,3.0,2.5,2.6,2.0,1.9,1.7
HFCs,0.0,0.0,1.1,3.3,6.8,10.2,14.3,18.4,20.8,23.2,25.5,28.0,28.6,28.7,29.0,28.8,28.8,28.6,28.4,27.2,25.0,21.7,18.7,15.7,14.4,13.3,12.0,10.4,9.4,8.4,7.6,7.0,6.6
Light-Duty Trucks,302.4,315.0,342.7,367.4,394.0,420.9,453.0,481.7,517.9,555.2,575.2,587.7,611.3,632.1,654.9,659.3,669.4,670.9,631.3,632.8,632.0,642.5,688.5,672.1,693.4,693.2,710.9,716.2,720.6,711.7,615.3,671.7,660.2
CO2,292.1,303.5,329.7,351.6,373.7,396.3,423.4,446.8,478.7,513.2,530.3,541.3,564.2,584.6,607.4,614.0,623.0,625.0,586.4,588.4,589.0,601.9,650.5,638.1,662.2,664.5,684.8,692.7,699.0,690.1,596.2,654.0,644.5
CH4,1.5,1.5,1.6,1.7,1.8,1.8,1.8,1.8,1.8,1.5,1.4,1.3,1.3,1.2,1.2,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5
N2O,8.7,10.0,11.4,12.9,14.4,15.8,17.2,18.6,19.9,20.1,20.3,19.3,18.8,18.1,16.9,14.0,14.5,13.5,12.1,11.6,11.1,11.0,10.6,9.1,8.0,7.0,6.2,5.4,4.6,5.6,4.4,4.2,3.8
HFCs,0.0,0.0,0.0,1.3,4.2,7.1,10.6,14.4,17.5,20.5,23.3,25.8,27.1,28.3,29.5,30.2,30.9,31.4,31.9,32.0,31.0,28.8,26.6,24.1,22.4,20.9,19.2,17.5,16.4,15.4,14.2,13.0,11.4
Medium- and Heavy-Duty Trucks,234.5,227.9,239.8,254.1,269.9,279.6,291.3,304.5,317.2,334.5,346.9,347.1,358.3,366.4,376.4,391.0,400.3,403.0,386.0,347.4,359.3,352.4,351.4,357.5,371.9,378.2,382.4,395.4,406.5,409.3,386.7,417.0,413.1
