"Table 2-15:  Emissions of NOx, CO, NMVOCs, and SO2 (kt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Activity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NOx,22896,22657,22727,22826,22718,22433,22194,22272,21971,20592,20376,19449,22903,22245,20706,19754,18318,17151,16153,14064,13807,13174,12409,11637,10958,10079,8956,8440,8064,7639,6879,6996,6589
Energy,21966,21770,21853,21921,21760,21513,21183,21280,20951,19587,19339,18436,22049,21432,19770,18863,17552,16365,15423,13393,13182,12446,11675,10938,10317,9336,8326,7739,7384,7048,6235,6308,5964
IPPU,774,728,745,752,780,794,791,820,825,763,795,828,649,649,672,672,578,576,576,486,506,514,516,511,480,447,461,455,461,440,393,403,389
Agriculture,16,15,16,17,16,14,17,17,16,17,16,16,18,21,19,18,17,18,17,16,19,15,17,17,18,16,17,17,17,18,17,18,19
LULUCF,56,54,24,24,58,21,63,12,29,77,108,50,137,92,193,149,120,142,86,118,49,128,129,97,71,207,77,155,130,61,158,190,142
Waste,84,90,89,113,104,91,139,143,149,148,118,119,51,50,51,51,51,50,50,50,50,71,73,73,72,71,76,74,73,73,76,76,75
CO,133549,128636,122774,118455,115494,109468,105885,101191,99766,97113,97920,91102,89497,82635,85205,76691,67236,64332,56715,56067,48174,48260,47219,47302,42865,51190,37035,40627,38656,36234,38911,41677,38853
Energy,124713,120688,116633,111769,107333,103373,97567,94446,92105,88564,88077,84406,78273,74100,68576,64455,59506,54550,49807,46973,43284,41126,39214,38804,37605,35793,31786,31127,30760,30349,28427,28845,28173
IPPU,4099,3954,3867,3967,3962,3948,3079,3213,3222,2264,2335,2451,1899,1899,1701,1701,1497,1495,1495,1214,1340,1344,1346,1212,1157,1100,1011,999,1022,1011,855,902,897
Agriculture,407,391,419,428,416,366,452,441,421,432,410,407,463,558,484,480,464,476,450,409,515,382,432,448,477,413,451,447,433,468,446,480,501
LULUCF,3301,2591,774,1109,2620,653,2107,369,1138,3032,5338,2073,7665,4900,13265,8877,4591,6633,3786,6293,1857,4226,5045,5657,2444,12702,2605,6872,5259,3224,7841,10107,7939
Waste,1028,1013,1082,1182,1163,1129,2681,2721,2880,2820,1761,1764,1198,1178,1178,1178,1178,1178,1178,1178,1178,1182,1182,1182,1181,1182,1182,1182,1182,1182,1342,1343,1343
NMVOCs,20918,20712,20493,20125,19831,19506,17182,16985,16395,15870,15235,15053,13662,13322,13030,12708,12128,11741,11338,10511,10233,10211,10429,9999,10015,9800,9288,8951,8987,8804,9040,9454,9325
Energy,13067,12737,12353,11828,11398,11041,10334,9978,9790,9592,9217,8878,9815,9508,9040,8694,8335,7965,7728,7269,6952,6901,6981,6602,6709,6475,5702,5467,5506,5444,5306,5568,5442
IPPU,6982,7093,7249,7374,7510,7523,6395,6548,6130,5840,5643,5797,3504,3472,3646,3668,3445,3425,3257,2891,2934,2962,3098,3046,2956,2973,3230,3126,3119,2996,3366,3508,3505
Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,192,193,192,194,196,199,202,198,195,196,197,195,193,196,200,202,206,208,196,206,206
LULUCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waste,870,881,891,922,923,942,452,460,475,438,375,379,151,149,151,152,152,152,152,152,152,153,154,156,156,156,156,156,156,157,173,172,172
SO2,20924,20287,20023,19743,19351,16882,16665,17085,17181,15856,14767,14413,13395,13845,13181,13108,11183,10403,9137,7172,6213,5716,4542,4325,4095,3071,2323,2093,2001,1676,1471,1621,1522
Energy,19400,18897,18628,18353,18004,15554,15544,15924,16016,14784,13649,13251,12581,13029,12386,12312,10542,9764,8498,6660,5737,5234,4061,3881,3675,2682,1955,1717,1643,1344,1173,1315,1229
IPPU,1488,1352,1357,1329,1296,1287,1093,1133,1135,1043,1089,1132,794,796,775,776,621,619,619,492,456,459,459,421,397,366,346,353,335,309,266,274,261
Agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LULUCF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waste,36,38,38,61,51,41,28,29,29,29,29,30,20,20,20,20,20,20,20,20,20,22,23,23,23,22,22,23,23,23,33,32,31
+ Does not exceed 0.5 kt. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA (Not Available) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals by gas may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: (EPA 2023a) except for estimates from forest fires, grassland fires, and field burning of agricultural residues. Emission categories from EPA (2023a) are aggregated into sectors and categories reported under the Paris Agreement and the UNFCCC as shown in Table ES-3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
