Table 2-2:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks by Gas (kt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,"5,131,650","5,076,301","5,178,731","5,279,480","5,361,823","5,425,799","5,601,058","5,673,109","5,736,325","5,800,250","6,023,128","5,903,534","5,947,795","6,006,416","6,111,521","6,126,864","6,045,303","6,121,521","5,919,210","5,486,089","5,668,742","5,540,331","5,332,811","5,473,656","5,529,884","5,368,293","5,246,403","5,196,540","5,362,191","5,234,488","4,688,969","5,017,202","5,053,019"
Fossil Fuel Combustion,"4,752,232","4,705,926","4,801,422","4,917,716","4,981,723","5,037,780","5,215,157","5,275,769","5,332,286","5,386,768","5,620,872","5,527,409","5,568,469","5,638,724","5,717,675","5,744,134","5,656,720","5,741,394","5,557,830","5,188,319","5,339,624","5,206,791","4,992,489","5,114,835","5,172,908","5,002,937","4,906,314","4,845,066","4,988,198","4,852,631","4,341,710","4,654,265","4,699,403"
Transportation,"1,468,944","1,422,327","1,477,643","1,508,607","1,553,947","1,580,678","1,627,363","1,643,516","1,678,920","1,746,344","1,792,202","1,762,464","1,803,018","1,811,984","1,845,221","1,858,552","1,859,133","1,860,737","1,759,681","1,688,481","1,696,615","1,670,378","1,659,401","1,669,046","1,707,347","1,718,381","1,757,907","1,780,308","1,813,135","1,816,636","1,572,820","1,753,546","1,751,286"
Electric Power Sector,"1,819,951","1,817,359","1,830,688","1,906,172","1,930,468","1,947,173","2,020,243","2,087,520","2,176,555","2,189,666","2,296,172","2,257,204","2,272,227","2,303,678","2,335,083","2,400,057","2,344,396","2,411,137","2,359,332","2,145,346","2,258,639","2,158,067","2,023,256","2,038,270","2,037,166","1,900,638","1,808,872","1,732,033","1,753,432","1,606,721","1,439,566","1,540,933","1,531,680"
Industrial,"876,468","866,686","889,138","891,245","890,830","907,459","926,739","921,799","905,638","863,649","887,234","866,580","857,981","852,435","877,420","847,640","868,397","858,612","824,951","751,898","791,090","793,352","793,917","825,800","820,830","792,961","788,319","780,400","810,472","809,807","761,986","780,453","801,064"
Residential,"338,568","347,710","353,968","366,082","357,047","353,134","383,474","365,033","331,610","350,907","371,703","363,053","361,082","380,126","369,060","358,898","321,726","341,171","347,889","335,928","334,495","326,333","282,532","329,265","346,734","317,617","293,191","293,966","338,940","342,905","314,795","318,034","334,065"
Commercial,"228,293","232,660","228,038","222,985","224,698","227,787","237,558","237,819","220,118","220,730","236,531","228,456","229,007","240,136","237,976","227,130","211,806","223,089","227,511","227,708","224,282","224,599","200,429","224,326","232,552","244,805","231,861","232,413","246,297","251,749","229,264","237,528","258,733"
U.S. Territories,"20,010","19,183","21,947","22,625","24,732","21,549","19,779","20,082","19,445","15,472","37,032","49,652","45,153","50,365","52,916","51,857","51,263","46,648","38,465","38,959","34,504","34,063","32,954","28,128","28,278","28,534","26,165","25,946","25,923","24,813","23,279","23,772","22,575"
Non-Energy Use of Fuels,"99,104","102,588","105,217","93,689","102,437","103,338","101,427","108,964","121,618","133,098","123,413","117,949","120,704","114,290","132,240","124,988","123,862","112,555","107,246","89,657","90,107","88,282","91,214","104,550","92,155","105,692","98,711","107,079","118,382","106,474","97,757","111,624","102,808"
Cement Production,"33,484","32,736","32,993","34,838","36,310","37,075","37,309","38,561","39,461","40,239","41,445","41,613","43,164","43,349","45,886","46,194","46,851","45,509","41,416","29,615","31,449","32,208","35,270","36,369","39,439","39,907","39,439","40,324","38,971","40,896","40,688","41,312","41,884"
Iron and Steel Production & Metallurgical Coke Production,"104,740","95,216","95,995","91,649","94,528","98,399","96,366","97,599","91,139","89,019","90,467","79,788","75,780","72,661","72,245","70,082","72,774","74,529","69,938","45,070","58,560","62,955","57,259","55,188","58,189","47,946","43,625","40,814","42,863","43,095","37,724","41,873","40,672"
Natural Gas Systems,"32,427","31,552","31,451","31,156","31,120","29,091","27,404","27,136","25,002","25,529","25,974","25,733","26,093","25,989","26,415","26,312","27,077","27,390","28,033","26,371","26,479","26,806","26,305","28,171","29,103","29,397","29,911","31,467","32,768","38,525","36,719","35,780","36,470"
Petrochemical Production,"20,075","21,436","22,157","22,655","24,565","25,816","26,799","28,044","28,435","29,971","29,536","26,250","27,237","27,055","29,512","26,882","27,322","27,745","24,439","23,482","26,963","26,051","26,093","25,890","25,634","27,188","26,782","27,332","27,200","28,483","27,926","30,656","28,788"
Petroleum Systems,"9,585","9,638","9,415","9,340","9,368","9,712","9,976","10,252","10,058","9,441","9,512","9,490","9,498","9,651","9,911","10,210","10,440","10,603","11,559","11,774","13,966","16,519","20,767","24,463","29,278","30,786","21,369","23,428","34,777","45,498","28,937","24,140","21,967"
Ammonia Production,"14,404","14,664","15,129","14,547","15,562","14,885","15,220","15,410","15,650","14,302","13,384","10,286","11,653","9,847","10,615","10,234","9,765","10,262","9,429","9,285","9,818","8,968","9,971","9,944","10,558","10,109","10,195","12,481","12,669","12,401","13,006","12,192","12,610"
Incineration of Waste,"12,900","11,171","12,990","12,970","14,039","14,333","14,514","13,733","12,790","12,316","13,026","12,995","13,030","13,173","13,248","13,254","14,343","14,242","13,909","13,459","12,824","12,741","13,393","14,135","14,058","14,167","14,356","13,161","13,339","12,948","12,921","12,476","12,357"
Lime Production,"11,700","11,539","11,927","12,279","12,736","13,538","14,242","14,498","14,792","14,425","14,282","13,722","13,169","13,907","14,613","14,552","15,243","14,721","14,505","11,411","13,381","13,982","13,785","14,028","14,210","13,342","12,630","12,882","13,106","12,112","11,299","11,870","12,208"
Other Process Uses of Carbonates,"7,103","6,466","6,394","6,045","6,352","8,254","8,853","8,579","8,744","9,521","6,682","6,887","7,210","5,795","7,660","8,472","9,525","8,753","7,437","9,307","11,249","10,345","9,467","11,434","13,139","12,694","11,361","10,440","7,938","8,973","9,012","8,583","10,384"
Urea Consumption for Non-Agricultural Purposes,"3,784","3,501","3,863","4,568","4,268","4,255","3,859","3,931","4,844","4,650","4,231","4,072","3,700","3,558","3,673","3,653","3,519","4,944","4,065","3,427","4,730","5,093","4,820","4,556","1,809","4,627","5,289","5,207","6,113","6,150","5,805","6,600","7,053"
Urea Fertilization,"2,417","2,313","2,448","2,637","2,683","2,657","2,587","2,691","2,947","3,016","3,214","3,414","3,572","3,685","3,653","3,504","3,656","3,757","3,613","3,555","3,778","4,097","4,282","4,443","4,512","4,679","4,720","4,816","4,936","5,034","5,132","5,229","5,327"
