Table 2-4:  Emissions from Energy by Gas (MMT CO2 Eq.) [1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
CO2,4910.9,4865.3,4964.9,5068.8,5143.1,5198.6,5373,5440.5,5506.4,5571.5,5797,5697.9,5741.8,5805.8,5903.6,5923.1,5836.5,5910.2,5722.7,5333.4,5486.9,5355.1,5148,5290,5341.5,5186.5,5073.6,5023.4,5190.6,5059.1,4520.2,4840.7,4875.5,-0.70%
Fossil Fuel Combustion,4752.2,4705.9,4801.4,4917.7,4981.7,5037.8,5215.2,5275.8,5332.3,5386.8,5620.9,5527.4,5568.5,5638.7,5717.7,5744.1,5656.7,5741.4,5557.8,5188.3,5339.6,5206.8,4992.5,5114.8,5172.9,5002.9,4906.3,4845.1,4988.2,4852.6,4341.7,4654.3,4699.4,-1.10%
Transportation,1468.9,1422.3,1477.6,1508.6,1553.9,1580.7,1627.4,1643.5,1678.9,1746.3,1792.2,1762.5,1803,1812,1845.2,1858.6,1859.1,1860.7,1759.7,1688.5,1696.6,1670.4,1659.4,1669,1707.3,1718.4,1757.9,1780.3,1813.1,1816.6,1572.8,1753.5,1751.3,19.20%
Electricity Generation,1820,1817.4,1830.7,1906.2,1930.5,1947.2,2020.2,2087.5,2176.6,2189.7,2296.2,2257.2,2272.2,2303.7,2335.1,2400.1,2344.4,2411.1,2359.3,2145.3,2258.6,2158.1,2023.3,2038.3,2037.2,1900.6,1808.9,1732,1753.4,1606.7,1439.6,1540.9,1531.7,-15.80%
Industrial,876.5,866.7,889.1,891.2,890.8,907.5,926.7,921.8,905.6,863.6,887.2,866.6,858,852.4,877.4,847.6,868.4,858.6,825,751.9,791.1,793.4,793.9,825.8,820.8,793,788.3,780.4,810.5,809.8,762,780.5,801.1,-8.60%
Residential,338.6,347.7,354,366.1,357,353.1,383.5,365,331.6,350.9,371.7,363.1,361.1,380.1,369.1,358.9,321.7,341.2,347.9,335.9,334.5,326.3,282.5,329.3,346.7,317.6,293.2,294,338.9,342.9,314.8,318,334.1,-1.30%
Commercial,228.3,232.7,228,223,224.7,227.8,237.6,237.8,220.1,220.7,236.5,228.5,229,240.1,238,227.1,211.8,223.1,227.5,227.7,224.3,224.6,200.4,224.3,232.6,244.8,231.9,232.4,246.3,251.7,229.3,237.5,258.7,13.30%
U.S. Territories,20,19.2,21.9,22.6,24.7,21.5,19.8,20.1,19.4,15.5,37,49.7,45.2,50.4,52.9,51.9,51.3,46.6,38.5,39,34.5,34.1,33,28.1,28.3,28.5,26.2,25.9,25.9,24.8,23.3,23.8,22.6,12.80%
Non-Energy Use of Fuels,99.1,102.6,105.2,93.7,102.4,103.3,101.4,109,121.6,133.1,123.4,117.9,120.7,114.3,132.2,125,123.9,112.6,107.2,89.7,90.1,88.3,91.2,104.6,92.2,105.7,98.7,107.1,118.4,106.5,97.8,111.6,102.8,3.70%
Natural Gas Systems,32.4,31.6,31.5,31.2,31.1,29.1,27.4,27.1,25,25.5,26,25.7,26.1,26,26.4,26.3,27.1,27.4,28,26.4,26.5,26.8,26.3,28.2,29.1,29.4,29.9,31.5,32.8,38.5,36.7,35.8,36.5,12.50%
Petroleum Systems,9.6,9.6,9.4,9.3,9.4,9.7,10,10.3,10.1,9.4,9.5,9.5,9.5,9.7,9.9,10.2,10.4,10.6,11.6,11.8,14,16.5,20.8,24.5,29.3,30.8,21.4,23.4,34.8,45.5,28.9,24.1,22,129.20%
Incineration of Waste,12.9,11.2,13,13,14,14.3,14.5,13.7,12.8,12.3,13,13,13,13.2,13.2,13.3,14.3,14.2,13.9,13.5,12.8,12.7,13.4,14.1,14.1,14.2,14.4,13.2,13.3,12.9,12.9,12.5,12.4,-4.20%
Coal Mining,4.6,4.4,4.4,3.9,4.4,4.4,4.5,4.6,4.6,4.4,4.2,4.3,4,4,4.1,4.2,4.1,4,4.1,3.8,3.9,3.9,3.9,3.8,4,3.5,2.9,3.2,3.1,3,2.2,2.5,2.5,-46.30%
Abandoned Oil and Gas Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.00%
Biomass-Wooda,215.2,215.3,225,219.3,225,229.1,235.7,228.5,210.4,213.3,218.1,193.5,192.8,193.8,205.1,206.9,202.9,202.3,199.9,188.6,215.5,214.9,208.3,227.3,233.8,224.7,216,212,220,217.7,190.6,192.5,195.3,-9.20%
International Bunker Fuelsb,103.6,117.7,108,98,96.8,98.6,99.9,107.1,110.6,102.8,101.9,93.9,94.6,98.5,108.6,113.3,114.3,115.5,114.5,106.5,117.1,111.7,105.9,99.8,103.5,111,116.7,120.2,124.3,113.6,69.6,80.2,98.2,-5.20%
Biofuels-Ethanola,4.2,4.9,5.6,6.5,7.3,7.8,5.6,7.1,7.8,8.2,9.3,9.8,11.7,16,20.1,22.9,31,38.9,54.7,62.3,72.6,72.9,72.8,74.7,76.1,78.9,81.2,82.1,81.9,82.6,71.8,79.1,79.6,1783.20%
Biofuels-Biodiesela,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.3,0.9,2.5,3.3,2.9,3,2.5,8.3,8.5,13.5,13.3,14.1,19.6,18.7,17.9,17.1,17.7,16.1,15.6,100.00%
Biomass-MSWa,18.5,15.2,17.3,16.3,17,17.1,17.1,15.9,14.5,13.8,14.8,14.8,14.7,14.7,14.8,14.7,16,15.4,15.4,15.2,15,16.6,16.2,16.1,15.9,15.7,15.8,16.1,16.1,15.7,15.6,15.3,14.9,-19.80%
CH4,409,411.3,405.6,390.4,393.5,385.3,385.7,385.7,379.5,368.1,369.9,369.4,361.1,361.4,365.1,358.5,371.6,368.9,387.3,374.7,372.4,356.6,342.4,351.8,351.3,345.2,320.7,332.7,336.2,321.7,305.3,293.3,282.4,-31.00%
Natural Gas Systems,218.8,224.1,221.1,221,223.3,216,214.4,216.6,213.7,210,213.2,214.1,212.1,211.1,212.9,210.1,218.1,216.2,219.4,207.1,199.9,194.1,189.3,188.2,185.7,186.9,181.5,183.4,190.3,188.7,180.3,174.6,173.1,-20.90%
Coal Mining,108.1,104.6,101.6,86.5,86.9,85.6,85.1,84.5,84.8,79.7,76.5,76.2,71.5,71.6,73.1,71.5,73,72.6,84.7,89.4,92,79.7,73,72.4,72.3,68.5,60.3,61.4,59.1,53,46.2,44.7,43.6,-59.60%
Petroleum Systems,49.4,49.6,48.9,49.3,48.2,48.4,50.3,51.1,49.3,47,48.2,48.7,48,49.2,49.8,48.2,52.6,52,55.1,50.1,51.8,54.5,53,62.9,64.8,61.6,51.2,60.8,59,52.2,53.3,48.6,39.6,-19.80%
Stationary Combustion,9.7,9.8,10.2,9.5,9.3,9.3,9.6,8.7,8,8.2,8.6,8.1,8.2,8.5,8.7,8.8,8.2,8.7,8.9,8.9,9.5,9.3,8.4,9.7,9.9,9.5,8.8,8.6,9.6,9.8,8,8,8.6,-10.80%
Abandoned Oil and Gas Wells,7.8,7.9,7.9,8,8,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,8.4,8.4,8.5,8.5,8.6,8.5,8.80%
Abandoned Underground Coal Mines,8.1,8.2,8.9,9.2,10.8,11,11.3,10.1,9.2,9.3,9.8,8.9,8.2,8,7.7,7.4,7.3,7.1,7.1,7.1,7.4,7.2,7,7,7.1,7.2,7.5,7.2,6.9,6.6,6.5,6.3,6.3,-21.80%
Mobile Combustion,7.2,7,7.1,7,7,6.9,6.8,6.6,6.4,5.8,5.5,5.2,5,4.7,4.6,4.3,4.2,4.1,3.8,3.6,3.6,3.6,3.4,3.3,3.1,3.1,3,2.9,2.8,2.9,2.5,2.6,2.6,-63.80%
Incineration of Waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.90%
International Bunker Fuelsb,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-51.80%
N2O,61.2,62.5,65.2,67.7,70.1,71.9,73.8,75.4,76.5,74.6,75.2,72.9,72.4,71.8,70.9,67.9,68,65.5,62.6,58.7,60,57.9,53.5,53.9,52.3,48.3,46.9,44.4,43.2,41.6,37.1,39.2,41.9,-31.50%
Stationary Combustion,22.3,22.3,22.5,23.2,23.6,23.8,24.4,24.8,25.2,25.2,26.5,26.2,27.2,28.3,29.4,30.5,30.3,30.6,30.3,28.1,30.4,29.2,26.9,29.1,29.3,27.1,26.7,25.3,25.1,22.2,20.5,22,24.7,10.60%
Mobile Combustion,38.4,39.9,42.3,44.1,46,47.7,49,50.2,50.9,49,48.3,46.4,44.9,43.2,41.1,37,37.4,34.5,31.9,30.3,29.3,28.2,26.2,24.5,22.6,20.8,19.8,18.7,17.7,19.1,16.1,16.8,16.7,-56.50%
Incineration of Waste,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,-17.90%
Natural Gas Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,3204.70%
Petroleum Systems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.00%
International Bunker Fuelsb,0.8,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,1,0.9,0.5,0.6,0.8,1.40%
Total,5381,5339.1,5435.7,5526.9,5606.6,5655.8,5832.5,5901.6,5962.4,6014.2,6242.1,6140.1,6175.3,6239,6339.6,6349.5,6276.2,6344.6,6172.6,5766.8,5919.3,5769.5,5544,5695.8,5745.2,5580,5441.2,5400.4,5570,5422.4,4862.6,5173.3,5199.8,-3.40%
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Emissions from biomass and biofuel consumption are not included specifically in Energy sector totals. Net carbon fluxes from changes in biogenic carbon reservoirs are accounted for in the estimates for LULUCF.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Emissions from international bunker fuels are not included in totals. These values are presented for informational purposes only, in line with the 2006 IPCC Guidelines, the Paris Agreement and the UNFCCC reporting obligations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1] The full time series data is available in Common Reporting Tables (CRTs) included in the U.S. Paris Agreement and UNFCCC submission and in CSV format available at https://www.epa.gov/ghgemissions/inventory-us-greenhouse-gas-emissions-and-sinks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
