Table 2-6:  Emissions from Industrial Processes and Product Use (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
CO2,213.7,203.7,206.9,204.3,211.9,220.1,221.1,225.6,222.2,221.2,218.6,197.8,197.4,192.3,200.4,195.9,200.9,203.1,187.9,145.5,173.3,177.3,174.5,175.3,180.3,173.4,165.1,165.3,164.4,168.2,160.7,168.8,168.9,-0.2
Cement Production,33.5,32.7,33.0,34.8,36.3,37.1,37.3,38.6,39.5,40.2,41.4,41.6,43.2,43.3,45.9,46.2,46.9,45.5,41.4,29.6,31.4,32.2,35.3,36.4,39.4,39.9,39.4,40.3,39.0,40.9,40.7,41.3,41.9,0.3
Iron and Steel Production & Metallurgical Coke Production,104.7,95.2,96.0,91.6,94.5,98.4,96.4,97.6,91.1,89.0,90.5,79.8,75.8,72.7,72.2,70.1,72.8,74.5,69.9,45.1,58.6,63.0,57.3,55.2,58.2,47.9,43.6,40.8,42.9,43.1,37.7,41.9,40.7,-0.6
Iron and Steel Production,99.1,90.1,92.0,88.7,89.4,93.2,92.0,93.8,86.4,84.3,85.9,76.8,71.6,68.3,68.4,66.2,69.0,70.7,65.8,42.9,54.8,59.8,55.1,51.6,54.5,43.5,41.0,38.8,41.6,40.1,35.4,38.6,37.7,-0.6
Metallurgical Coke Production,5.6,5.1,4.0,3.0,5.2,5.2,4.4,3.8,4.8,4.7,4.5,3.0,4.2,4.4,3.8,3.9,3.8,3.9,4.1,2.2,3.8,3.1,2.2,3.5,3.7,4.4,2.6,2.0,1.3,3.0,2.3,3.2,3.0,-0.5
Petrochemical Production,20.1,21.4,22.2,22.7,24.6,25.8,26.8,28.0,28.4,30.0,29.5,26.3,27.2,27.1,29.5,26.9,27.3,27.7,24.4,23.5,27.0,26.1,26.1,25.9,25.6,27.2,26.8,27.3,27.2,28.5,27.9,30.7,28.8,0.4
Ammonia Production,14.4,14.7,15.1,14.5,15.6,14.9,15.2,15.4,15.6,14.3,13.4,10.3,11.7,9.8,10.6,10.2,9.8,10.3,9.4,9.3,9.8,9.0,10.0,9.9,10.6,10.1,10.2,12.5,12.7,12.4,13.0,12.2,12.6,-0.1
Lime Production,11.7,11.5,11.9,12.3,12.7,13.5,14.2,14.5,14.8,14.4,14.3,13.7,13.2,13.9,14.6,14.6,15.2,14.7,14.5,11.4,13.4,14.0,13.8,14.0,14.2,13.3,12.6,12.9,13.1,12.1,11.3,11.9,12.2,0.0
Other Process Uses of Carbonates,7.1,6.5,6.4,6.0,6.4,8.3,8.9,8.6,8.7,9.5,6.7,6.9,7.2,5.8,7.7,8.5,9.5,8.8,7.4,9.3,11.2,10.3,9.5,11.4,13.1,12.7,11.4,10.4,7.9,9.0,9.0,8.6,10.4,0.5
Urea Consumption for Non-Agricultural Purposes,3.8,3.5,3.9,4.6,4.3,4.3,3.9,3.9,4.8,4.7,4.2,4.1,3.7,3.6,3.7,3.7,3.5,4.9,4.1,3.4,4.7,5.1,4.8,4.6,1.8,4.6,5.3,5.2,6.1,6.2,5.8,6.6,7.1,0.9
Carbon Dioxide Consumption,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.9,1.0,1.4,1.3,1.4,1.8,1.9,1.8,1.8,4.4,4.1,4.0,4.2,4.5,4.9,4.6,4.6,4.1,4.9,5.0,5.0,5.0,2.4
Glass Production,2.3,2.1,2.2,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.2,1.9,2.1,2.1,2.0,2.0,2.0,2.0,2.1,2.0,2.0,1.9,1.9,2.0,2.0,-0.1
Soda Ash Production,1.4,1.4,1.5,1.4,1.4,1.6,1.6,1.7,1.6,1.5,1.5,1.5,1.5,1.5,1.6,1.7,1.6,1.7,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8,1.5,1.7,1.7,0.2
Titanium Dioxide Production,1.2,1.2,1.4,1.4,1.5,1.5,1.5,1.7,1.7,1.7,1.8,1.7,1.8,1.8,2.1,1.8,1.8,1.9,1.8,1.6,1.8,1.7,1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.3,1.3,1.5,1.5,0.2
Aluminum Production,6.8,6.9,6.8,6.2,5.5,5.7,6.0,6.0,6.2,6.3,6.1,4.4,4.5,4.5,4.2,4.1,3.8,4.3,4.5,3.0,2.7,3.3,3.4,3.3,2.8,2.8,1.3,1.2,1.5,1.9,1.7,1.5,1.4,-0.8
Ferroalloy Production,2.2,1.9,2.0,1.9,2.0,2.0,2.1,2.2,2.2,2.2,1.9,1.5,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.5,1.7,1.7,1.9,1.8,2.0,2.0,1.8,2.0,2.1,1.6,1.4,1.6,1.3,-0.4
Zinc Production,0.6,0.8,0.8,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.7,0.7,1.1,1.0,1.0,1.0,1.0,1.2,0.9,1.2,1.3,1.5,1.4,0.9,0.9,0.8,0.9,1.0,1.0,1.0,1.0,0.9,0.5
Phosphoric Acid Production,1.5,1.4,1.5,1.3,1.5,1.5,1.6,1.5,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.3,1.2,1.2,1.1,1.0,1.1,1.2,1.1,1.1,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.8,-0.5
Lead Production,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,-0.2
Carbide Production and Consumption,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.1
Substitution of Ozone Depleting Substancesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.6
Magnesium Production and Processing,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
CH4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
Carbide Production and Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4
Ferroalloy Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
Iron and Steel Production & Metallurgical Coke Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
Petrochemical Production,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
N2O,29.6,29.1,27.6,29.1,29.5,32.7,33.1,27.2,23.2,22.4,22.6,19.5,20.4,20.2,18.7,22.2,23.2,26.8,18.1,16.8,19.9,24.7,19.8,18.8,20.3,19.7,20.8,20.2,23.1,18.7,20.8,19.7,16.1,-0.5
Nitric Acid Production,10.8,10.8,11.1,11.2,11.9,12.0,12.5,12.8,12.6,12.2,11.8,9.6,10.4,9.8,9.7,10.1,9.9,11.7,10.0,8.6,10.3,9.7,9.3,9.5,9.7,10.3,9.0,8.3,8.5,8.9,8.3,7.9,8.6,-0.2
N2O from Product Uses,3.8,3.7,3.5,3.9,3.9,3.9,3.9,4.2,4.2,4.2,4.2,4.2,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.0
Adipic Acid Production,13.5,13.2,11.5,12.4,12.0,15.0,14.9,8.4,4.6,4.2,4.7,4.0,4.4,4.8,3.3,6.3,7.6,9.1,2.2,2.4,3.8,9.1,4.7,3.5,4.8,3.8,6.3,6.6,9.3,4.7,7.4,6.6,2.1,-0.8
"Caprolactam, Glyoxal, and Glyoxylic Acid Production",1.5,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.6,1.8,1.7,1.9,1.9,1.8,2.0,1.9,1.9,2.0,2.0,1.8,1.9,1.8,1.7,1.5,1.3,1.3,1.2,1.1,1.2,1.3,-0.1
Electronics Industry,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,7.2
HFCs,47.7,44.1,49.2,49.8,56.3,74.2,84.4,96.8,115.3,114.6,114.1,111.4,118.0,113.6,122.9,121.7,126.5,137.8,142.6,143.4,151.9,153.1,152.9,153.5,157.4,160.8,160.6,163.0,163.9,168.2,170.3,177.0,182.8,2.8
Substitution of Ozone Depleting Substancesa,0.3,0.5,1.6,5.5,13.5,29.4,41.1,52.2,60.1,68.3,75.2,81.9,86.7,91.2,95.0,99.5,105.8,113.1,121.1,130.3,137.8,140.9,143.3,145.4,149.6,154.1,155.8,156.2,157.9,162.1,166.2,172.6,178.1,703.6
Fluorochemical Production,47.3,43.4,47.4,44.0,42.6,44.4,42.9,44.2,54.7,45.8,38.6,29.3,31.1,22.3,27.7,22.1,20.5,24.5,21.3,12.9,13.9,11.9,9.3,7.8,7.5,6.4,4.4,6.4,5.7,5.7,3.8,4.0,4.3,-0.9
Electronics Industry,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.7
Magnesium Production and Processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,1.0
PFCs,39.5,36.9,36.0,36.3,35.3,36.3,38.5,38.2,38.2,39.2,28.6,18.5,17.2,20.4,11.4,10.2,9.5,10.0,8.5,6.0,6.8,8.8,8.0,8.1,7.1,6.8,5.8,5.4,7.4,7.3,6.6,6.3,6.7,-0.8
Fluorochemical Production,17.5,17.9,18.3,18.6,19.0,19.5,20.6,21.7,22.8,23.9,14.1,10.9,7.8,12.9,5.1,4.0,3.5,2.6,2.6,2.1,2.2,2.1,2.1,2.3,1.8,1.9,1.6,1.5,2.9,3.0,2.5,2.6,3.0,-0.8
Electronics Industry,2.5,2.5,2.5,3.2,3.5,4.4,4.9,5.2,6.3,6.4,5.5,3.9,3.8,3.5,3.2,3.0,3.2,3.0,2.7,1.9,2.5,3.4,3.0,2.7,2.8,2.8,2.7,2.7,2.9,2.6,2.5,2.6,2.7,0.1
Aluminum Production,19.3,16.3,15.0,14.4,12.7,12.4,13.0,11.3,9.0,8.8,8.9,3.6,5.5,3.9,3.0,3.1,2.7,4.2,3.0,1.9,1.8,3.2,2.8,2.8,2.4,1.9,1.3,1.0,1.4,1.4,1.4,0.9,0.8,-1.0
SF6 and PFCs from Other Product Use,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.0,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.4
Substitution of Ozone Depleting Substancesa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Electrical Equipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
SF6,37.9,36.9,37.4,37.2,36.2,35.3,34.5,32.7,29.7,29.3,26.5,24.2,21.9,21.1,20.6,20.2,19.4,17.5,16.8,13.6,11.6,10.4,9.3,9.1,8.7,8.2,8.5,7.9,7.6,8.4,8.1,8.5,7.6,-0.8
Electrical Equipment,24.7,23.6,23.6,22.8,21.5,19.8,18.1,16.6,14.1,14.5,14.0,13.7,13.0,12.5,12.2,11.8,11.0,10.2,10.2,9.0,7.8,7.1,6.1,5.9,6.0,5.3,5.4,5.3,5.0,6.1,5.9,6.0,5.1,-0.8
Magnesium Production and Processing,5.6,5.3,5.5,5.6,5.5,5.7,6.7,6.4,5.8,5.1,3.1,3.0,3.0,3.5,2.9,3.0,3.0,2.7,2.0,1.2,1.4,1.8,1.5,1.3,1.0,1.0,1.2,1.0,1.1,0.9,0.9,1.2,1.1,-0.8
Electronics Industry,0.5,0.5,0.5,0.6,0.7,0.9,1.0,1.0,1.3,1.3,1.0,0.7,0.6,0.8,0.7,0.8,0.8,0.6,0.6,0.4,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.7,0.8,0.8,0.8,0.9,0.8,0.5
SF6 and PFCs from Other Product Use,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.4,2.1,1.7,1.2,0.8,1.0,1.1,0.9,1.1,1.1,0.8,0.8,0.6,0.5,0.4,0.6,-0.5
Fluorochemical Production,5.8,6.2,6.5,6.8,7.1,7.5,7.4,7.3,7.2,7.1,7.0,5.5,3.9,3.0,3.5,3.3,3.3,2.6,2.0,1.3,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
NF3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,0.8,1.0,0.8,1.0,1.0,1.3,1.2,1.1,1.0,1.1,1.0,1.0,0.8,0.7,0.8,0.7,0.9,0.7,1.1,1.3,1.1,1.1,2.4
Electronics Industry,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.5,0.5,0.4,0.6,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,13.1
Fluorochemical Production,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.6,0.5,0.3,0.5,0.6,0.7,0.7,0.7,0.6,0.7,0.5,0.5,0.3,0.3,0.2,0.2,0.4,0.1,0.6,0.7,0.5,0.5,0.7
Total,368.8,351.1,357.5,357.1,369.8,399.2,412.2,421.3,429.3,427.5,411.3,372.3,375.9,368.5,375.0,371.3,380.8,396.4,375.0,326.3,364.7,375.3,365.6,365.7,374.6,369.7,361.6,362.7,367.2,371.9,367.9,381.6,383.2,0.0
 + Does not exceed 0.05 MMT CO2 Eq. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO (Not Occurring),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Small amounts of PFC emissions from this source are included under HFCs due to confidential business information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
