Table 2-7:  Emissions from Agriculture (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
CO2,7.1,7.3,6.9,6.4,6.8,7.0,6.9,7.0,7.7,7.5,7.6,7.9,8.6,8.3,7.5,7.9,7.9,8.2,8.6,7.2,8.6,8.0,10.3,8.4,8.1,8.4,7.7,7.9,7.2,7.2,8.0,7.6,8.6,21.00%
Urea Fertilization,2.4,2.3,2.4,2.6,2.7,2.7,2.6,2.7,2.9,3.0,3.2,3.4,3.6,3.7,3.7,3.5,3.7,3.8,3.6,3.6,3.8,4.1,4.3,4.4,4.5,4.7,4.7,4.8,4.9,5.0,5.1,5.2,5.3,120.40%
Liming,4.7,5.0,4.4,3.8,4.1,4.4,4.4,4.3,4.8,4.5,4.4,4.5,5.0,4.6,3.8,4.4,4.2,4.5,5.0,3.7,4.8,3.9,6.0,3.9,3.6,3.7,3.0,3.1,2.2,2.2,2.9,2.4,3.3,-30.30%
CH4,241.7,244.4,247.7,252.4,257.8,264.5,263.1,259.5,263.8,262.6,264.2,261.3,265.0,262.0,256.4,264.4,265.0,273.7,269.0,269.8,272.1,267.9,266.0,262.6,259.6,269.0,277.5,278.9,285.0,280.2,282.4,281.8,276.8,14.50%
Enteric Fermentation,183.1,183.3,188.7,191.4,194.8,199.2,198.0,194.1,192.0,192.2,190.2,189.0,189.4,189.5,186.0,188.2,191.3,194.5,193.8,192.8,190.8,188.3,185.9,184.7,182.5,185.9,191.9,195.9,196.8,197.3,196.3,196.5,192.6,5.20%
Manure Management,39.1,41.0,39.4,41.3,44.3,45.7,44.8,46.9,50.7,50.8,51.1,52.6,53.5,53.8,52.1,55.0,55.1,60.1,58.2,57.0,59.1,59.6,61.8,59.3,58.8,62.9,65.1,65.6,67.7,66.7,66.9,66.4,64.7,65.30%
Rice Cultivation,18.9,19.5,19.0,19.1,18.1,19.1,19.7,17.9,20.4,19.0,22.4,19.0,21.5,17.9,17.6,20.6,18.0,18.5,16.4,19.6,21.5,19.4,17.7,18.1,17.6,19.6,19.9,16.7,19.9,15.6,18.6,18.3,18.9,-0.40%
Field Burning of Agricultural Residues,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.7,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.6,14.40%
N2O,302.3,291.5,288.7,305.5,302.9,302.0,311.4,299.6,305.8,303.3,294.2,310.7,311.2,312.1,319.2,309.5,309.4,319.3,315.9,314.8,318.3,317.0,298.5,340.2,345.7,337.5,323.7,330.6,350.2,332.6,309.2,315.3,308.0,1.90%
Agricultural Soil Management,288.8,277.8,275.0,292.0,288.7,287.5,296.9,285.0,291.1,288.1,278.6,295.1,295.3,296.2,304.0,294.1,293.4,303.3,300.2,299.2,302.7,301.4,282.8,324.6,330.1,321.6,307.4,314.0,333.4,315.6,292.1,298.0,290.8,0.70%
Manure Management,13.4,13.5,13.5,13.4,14.0,14.3,14.3,14.4,14.6,15.1,15.5,15.4,15.7,15.7,15.1,15.2,15.8,15.8,15.5,15.4,15.3,15.5,15.5,15.4,15.3,15.7,16.1,16.4,16.6,16.8,16.9,17.1,17.0,27.20%
Field Burning of Agricultural Residues,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,15.50%
Total,551.1,543.2,543.2,564.4,567.5,573.6,581.4,566.1,577.3,573.4,566.1,579.8,584.8,582.4,583.1,581.8,582.3,601.2,593.6,591.8,599.0,592.9,574.7,611.2,613.4,614.8,608.9,617.4,642.4,620.1,599.7,604.8,593.4,7.70%
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
