"Table 2-8:  U.S. Greenhouse Gas Emissions and Removals (Net Flux) from Land Use, Land-Use Change, and Forestry (MMT CO2 Eq.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land-Use Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
Forest Land Remaining Forest Land,-968.8,-971.7,-977.8,-972.8,-963.1,-957.4,-956.0,-955.7,-950.4,-933.9,-908.4,-921.3,-868.1,-907.5,-805.6,-860.1,-897.3,-863.6,-848.4,-807.9,-852.1,-860.9,-857.3,-840.4,-874.8,-763.0,-881.5,-875.0,-863.4,-807.0,-846.3,-823.9,-771.7,-0.2
Changes in Forest Carbon Stocksa,-974.8,-976.3,-979.2,-974.8,-968.0,-958.7,-959.7,-956.7,-952.7,-939.5,-918.6,-925.5,-883.2,-917.4,-829.8,-876.0,-905.6,-876.2,-855.7,-819.1,-855.7,-867.9,-866.8,-851.5,-879.4,-786.9,-886.1,-887.9,-873.5,-813.2,-862.0,-844.2,-787.0,-0.2
Non-CO2 Emissions from Forest Firesb,5.8,4.5,1.3,1.8,4.7,1.0,3.3,0.6,1.8,5.0,9.8,3.7,14.5,9.4,23.8,15.4,7.8,12.1,6.9,10.8,3.1,6.5,9.0,10.6,4.1,23.3,4.1,12.4,9.7,5.7,15.3,19.9,14.8,1.5
N2O Emissions from Forest Soilsc,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,4.6
Non-CO2 Emissions from Drained Organic Soilsd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
Land Converted to Forest Land,-100.2,-100.1,-100.0,-100.0,-100.0,-100.1,-100.1,-100.0,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.3,-100.3,-100.3,-100.4,-100.4,-100.4,-100.3,-100.3,-100.3,-100.3,0.0
Changes in Forest Carbon Stockse,-100.2,-100.1,-100.0,-100.0,-100.0,-100.1,-100.1,-100.0,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.1,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.2,-100.3,-100.3,-100.3,-100.4,-100.4,-100.4,-100.3,-100.3,-100.3,-100.3,0.0
Cropland Remaining Cropland,-5.0,-18.6,-26.7,-13.6,-21.5,-18.2,-38.2,-35.0,-30.4,-32.2,-38.0,-35.8,-38.1,-29.0,-33.7,-31.6,-28.3,-27.0,-33.8,-15.6,-19.9,-38.5,-27.1,-16.0,-22.4,-24.0,-22.5,-18.8,-17.8,-19.4,-8.8,-32.0,-31.7,5.3
Changes in Mineral and Organic Soil Carbon Stocks,-5.0,-18.6,-26.7,-13.6,-21.5,-18.2,-38.2,-35.0,-30.4,-32.2,-38.0,-35.8,-38.1,-29.0,-33.7,-31.6,-28.3,-27.0,-33.8,-15.6,-19.9,-38.5,-27.1,-16.0,-22.4,-24.0,-22.5,-18.8,-17.8,-19.4,-8.8,-32.0,-31.7,5.3
Land Converted to Cropland,45.4,46.6,43.2,40.7,40.7,42.7,40.4,40.7,38.5,40.9,37.4,36.0,35.7,35.8,34.6,34.5,32.4,33.6,30.3,30.9,32.3,29.6,32.0,33.5,32.0,33.3,34.1,33.2,31.9,31.4,29.3,34.9,35.1,-0.2
Changes in all Ecosystem Carbon Stocksf,45.4,46.6,43.2,40.7,40.7,42.7,40.4,40.7,38.5,40.9,37.4,36.0,35.7,35.8,34.6,34.5,32.4,33.6,30.3,30.9,32.3,29.6,32.0,33.5,32.0,33.3,34.1,33.2,31.9,31.4,29.3,34.9,35.1,-0.2
Grassland Remaining Grassland,24.6,27.3,23.8,23.7,7.6,19.4,10.5,31.5,17.1,28.6,-0.7,15.8,19.3,16.6,19.4,24.9,10.0,24.8,11.0,14.1,27.8,13.8,11.7,25.7,30.5,25.6,43.5,30.3,29.7,28.9,17.1,11.5,14.0,-0.4
Changes in Mineral and Organic Soil Carbon Stocks,24.4,27.1,23.5,23.4,7.0,19.1,9.5,31.3,16.7,27.7,-1.6,15.4,18.8,16.2,19.2,24.1,8.5,23.7,10.3,13.3,27.4,12.1,10.3,25.4,29.7,24.8,42.5,28.8,28.6,28.5,16.1,10.6,13.4,-0.5
Non-CO2 Emissions from Grassland Firesg,0.2,0.2,0.3,0.3,0.5,0.3,1.0,0.2,0.3,0.9,0.9,0.4,0.4,0.4,0.2,0.8,1.4,1.1,0.7,0.8,0.4,1.7,1.3,0.3,0.8,0.8,1.0,1.5,1.1,0.3,1.1,0.9,0.6,1.8
Land Converted to Grassland,35.3,34.8,34.3,32.5,30.1,30.3,28.7,28.3,24.6,25.3,22.1,21.7,21.3,21.5,21.0,21.8,20.5,21.6,21.4,23.1,22.7,22.8,20.9,22.1,24.0,21.2,23.7,23.8,25.2,25.4,28.7,24.5,25.6,-0.3
