Table 2-9:  Emissions from Waste (MMT CO2 Eq.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gas/Source,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Percent Change Since 1990
CH4,220.9,223.9,224.0,221.9,222.0,216.7,212.9,202.6,192.1,185.0,181.5,176.4,175.0,177.7,175.0,172.4,170.0,167.6,165.2,162.2,163.0,153.8,155.6,151.7,151.4,150.2,146.3,147.9,150.2,152.4,147.6,145.3,143.2,-0.4
Landfills,197.8,200.3,200.0,197.8,197.5,192.3,188.5,178.0,167.4,160.0,156.4,151.6,150.2,152.8,150.2,147.7,145.2,142.8,140.4,138.0,139.0,129.7,131.3,127.6,127.4,126.0,122.1,123.6,126.3,128.7,124.1,122.0,119.8,-0.4
Wastewater Treatment,22.7,23.0,23.5,23.5,23.7,23.4,23.3,23.4,23.4,23.5,23.4,23.1,23.1,22.9,22.7,22.7,22.6,22.6,22.6,22.1,22.0,22.1,22.1,21.8,21.6,21.8,21.7,21.5,21.4,21.1,21.0,20.7,20.8,-0.1
Composting,0.4,0.5,0.5,0.7,0.9,1.0,1.1,1.2,1.3,1.5,1.7,1.7,1.7,1.9,2.1,2.1,2.1,2.2,2.2,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.6,2.7,2.5,2.5,2.6,2.6,2.6,5.0
Anaerobic Digestion at Biogas Facilities ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1
N2O,15.1,15.4,15.8,16.1,16.7,16.8,17.2,17.4,17.9,18.5,18.9,18.7,18.9,19.3,19.6,19.5,19.9,20.1,20.0,19.8,20.0,20.3,20.9,21.1,21.3,21.5,22.1,22.6,23.0,23.4,24.1,23.9,23.7,0.6
Wastewater Treatment,14.8,15.1,15.5,15.6,16.1,16.1,16.4,16.5,16.9,17.4,17.7,17.5,17.7,17.9,18.1,18.1,18.4,18.5,18.4,18.3,18.6,18.8,19.4,19.5,19.7,19.8,20.2,20.6,21.2,21.6,22.3,22.1,21.9,0.5
Composting,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.2,1.4,1.5,1.5,1.5,1.6,1.6,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,1.8,1.8,1.8,1.8,1.8,5.0
Total,235.9,239.3,239.9,238.1,238.7,233.6,230.1,220.0,210.0,203.5,200.3,195.1,193.9,197.0,194.6,192.0,189.9,187.7,185.2,182.0,183.1,174.1,176.6,172.8,172.8,171.7,168.4,170.5,173.2,175.8,171.7,169.2,166.9,-0.3
+ Does not exceed 0.05 MMT CO2 Eq.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Totals may not sum due to independent rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
